family,gtdb_domain,ncbi_domain,database_presence,match_status,gtdb_genome_count,gtdb_species_count,ncbi_genome_count,ncbi_species_count,reason_filtered,sample_accessions
UBA10185,Bacteria,,GTDB_Only,No_Match,98,24,0,0,No verifiable NCBI taxonomy classification,"GCA_000998555.1, GCA_020631795.1, GCA_001773175.1, GCA_003449455.1, GCA_903825215.1"
CG-Epi1,Archaea,,GTDB_Only,No_Match,96,3,0,0,No verifiable NCBI taxonomy classification,"GCA_022449905.1, GCA_022449785.1, GCA_002718915.1, GCA_950066085.1, GCA_022449835.1"
Marinisomataceae,Bacteria,,GTDB_Only,No_Match,96,1,0,0,No verifiable NCBI taxonomy classification,"GCA_913045065.1, GCA_902568115.1, GCA_018655745.1, GCA_002450675.1, GCA_902575395.1"
PJMF01,Bacteria,,GTDB_Only,No_Match,95,25,0,0,No verifiable NCBI taxonomy classification,"GCA_003173865.1, GCA_029974355.1, GCA_018816385.1, GCA_002788655.1, GCA_018644765.1"
SAR86,Bacteria,,GTDB_Only,No_Match,94,7,0,0,No verifiable NCBI taxonomy classification,"GCA_950073965.1, GCA_950062625.1, GCA_937911535.1, GCA_022447025.1, GCA_913052295.1"
CSP1-6,Bacteria,,GTDB_Only,No_Match,91,22,0,0,No verifiable NCBI taxonomy classification,"GCA_016179925.1, GCA_003220615.1, GCA_016179875.1, GCA_003220595.1, GCA_016184125.1"
Zambryskibacteraceae,Bacteria,,GTDB_Only,No_Match,91,20,0,0,No verifiable NCBI taxonomy classification,"GCA_030917185.1, GCA_030916785.1, GCA_000993415.1, GCA_001823875.1, GCA_000998065.1"
WGA-3G,Bacteria,,GTDB_Only,No_Match,91,4,0,0,No verifiable NCBI taxonomy classification,"GCA_022822275.1, GCA_022824625.1, GCA_022394775.1, GCA_022827885.1, GCA_021295715.1"
UBA9628,Bacteria,,GTDB_Only,No_Match,89,13,0,0,No verifiable NCBI taxonomy classification,"GCA_021832035.1, GCA_027401745.1, GCA_027401775.1, GCA_027401785.1, GCA_028717525.1"
UBA3637,Bacteria,,GTDB_Only,No_Match,88,15,0,0,No verifiable NCBI taxonomy classification,"GCA_949297725.1, GCA_015062395.1, GCA_934216695.1, GCA_937906925.1, GCA_949297705.1"
AB-539-J10,Bacteria,,GTDB_Only,No_Match,88,26,0,0,No verifiable NCBI taxonomy classification,"GCA_018399375.1, GCA_003563175.1, GCA_023229725.1, GCA_001872925.1, GCA_030669895.1"
Absconditicoccaceae,Bacteria,,GTDB_Only,No_Match,86,24,0,0,No verifiable NCBI taxonomy classification,"GCA_027046965.1, GCA_023228925.1, GCA_937862935.1, GCA_002746475.1, GCA_937965925.1"
UBA10151,Bacteria,,GTDB_Only,No_Match,86,35,0,0,No verifiable NCBI taxonomy classification,"GCA_001779835.1, GCA_001777455.1, GCA_001777055.1, GCA_001776815.1, GCA_016176465.1"
SBAW01,Bacteria,,GTDB_Only,No_Match,82,4,0,0,No verifiable NCBI taxonomy classification,"GCA_903849825.1, GCA_903820465.1, GCA_001775485.1, GCA_903824155.1, GCA_943348815.1"
GWF2-40-263,Bacteria,,GTDB_Only,No_Match,81,20,0,0,No verifiable NCBI taxonomy classification,"GCA_000993535.1, GCA_001791715.1, GCA_016188495.1, GCA_001791205.1, GCA_001790825.1"
UBA12465,Bacteria,,GTDB_Only,No_Match,81,11,0,0,No verifiable NCBI taxonomy classification,"GCA_009992405.1, GCA_022705885.1, GCA_903882445.1, GCA_903934965.1, GCA_016432645.1"
GW2011-AR9,Archaea,,GTDB_Only,No_Match,81,36,0,0,No verifiable NCBI taxonomy classification,"GCA_018650605.1, GCA_018671675.1, GCA_018658095.1, GCA_023265925.1, GCA_018670085.1"
Thorarchaeaceae,Archaea,,GTDB_Only,No_Match,79,16,0,0,No verifiable NCBI taxonomy classification,"GCA_020355105.1, GCA_021498125.1, GCA_016840795.1, GCA_003345555.1, GCA_004524445.1"
TMED112,Bacteria,,GTDB_Only,No_Match,79,1,0,0,No verifiable NCBI taxonomy classification,"GCA_902562295.1, GCA_902620825.1, GCA_902614875.1, GCA_902621995.1, GCA_902614295.1"
UBA1096,Bacteria,,GTDB_Only,No_Match,79,1,0,0,No verifiable NCBI taxonomy classification,"GCA_913045395.1, GCA_002348685.1, GCA_002306635.1, GCA_018658165.1, GCA_011523195.1"
Nanoperiomorbaceae,Bacteria,,GTDB_Only,No_Match,78,9,0,0,No verifiable NCBI taxonomy classification,"GCA_009786195.1, GCA_031280785.1, GCA_031287975.1, GCA_938028655.1, GCA_946890795.1"
SM23-39,Bacteria,,GTDB_Only,No_Match,76,30,0,0,No verifiable NCBI taxonomy classification,"GCA_018239895.1, GCA_903863625.1, GCA_001796155.1, GCA_030681135.1, GCA_011064875.1"
2-12-FULL-60-25,Bacteria,,GTDB_Only,No_Match,76,20,0,0,No verifiable NCBI taxonomy classification,"GCA_020429645.1, GCA_003231955.1, GCA_030649995.1, GCA_028715505.1, GCA_937949995.1"
GWC2-37-73,Bacteria,,GTDB_Only,No_Match,73,8,0,0,No verifiable NCBI taxonomy classification,"GCA_903877615.1, GCA_028715015.1, GCA_000991525.1, GCA_903850685.1, GCA_903837175.1"
UBA12405,Bacteria,,GTDB_Only,No_Match,73,16,0,0,No verifiable NCBI taxonomy classification,"GCA_028685145.1, GCA_002779925.1, GCA_013387215.1, GCA_023457415.1, GCA_018898085.1"
Sedimentibacteraceae,Bacteria,,GTDB_Only,No_Match,73,3,0,0,No verifiable NCBI taxonomy classification,"GCA_002323775.1, GCA_028697665.1, GCA_017995755.1, GCA_002423765.1, GCA_002409285.1"
JAMCPL01,Bacteria,,GTDB_Only,No_Match,73,2,0,0,No verifiable NCBI taxonomy classification,"GCA_027390715.1, GCA_027387315.1, GCA_027387555.1, GCA_021846725.1, GCA_023379725.1"
UBA2206,Bacteria,,GTDB_Only,No_Match,72,20,0,0,No verifiable NCBI taxonomy classification,"GCA_027338925.1, GCA_002772115.1, GCA_027355905.1, GCA_027447045.1, GCA_000991935.1"
4484-171,Bacteria,,GTDB_Only,No_Match,71,27,0,0,No verifiable NCBI taxonomy classification,"GCA_028715525.1, GCA_021735655.1, GCA_018814545.1, GCA_028703535.1, GCA_021735705.1"
Staskawiczbacteraceae,Bacteria,,GTDB_Only,No_Match,69,15,0,0,No verifiable NCBI taxonomy classification,"GCA_903835075.1, GCA_026395175.1, GCA_001822025.1, GCA_943357015.1, GCA_001822075.1"
GCA-001735895,Bacteria,,GTDB_Only,No_Match,69,3,0,0,No verifiable NCBI taxonomy classification,"GCA_947260025.1, GCA_024638385.1, GCA_009937625.1, GCA_024229615.1, GCA_022545625.1"
UBA7540,Bacteria,,GTDB_Only,No_Match,69,20,0,0,No verifiable NCBI taxonomy classification,"GCA_021827255.1, GCA_027389135.1, GCA_030051725.1, GCA_021838785.1, GCA_020072905.1"
DHVEG-1,Archaea,,GTDB_Only,No_Match,66,22,0,0,No verifiable NCBI taxonomy classification,"GCA_002900545.1, GCA_018335115.1, GCA_003649715.1, GCA_018824925.1, GCA_030637965.1"
UBA826,Bacteria,,GTDB_Only,No_Match,66,6,0,0,No verifiable NCBI taxonomy classification,"GCA_002708065.1, GCA_913048525.1, GCA_902580285.1, GCA_002707955.1, GCA_022447825.1"
GWA2-44-9,Bacteria,,GTDB_Only,No_Match,65,17,0,0,No verifiable NCBI taxonomy classification,"GCA_001794595.1, GCA_001000265.1, GCA_020847715.1, GCA_001794695.1, GCA_018062285.1"
UBA9934,Bacteria,,GTDB_Only,No_Match,64,9,0,0,No verifiable NCBI taxonomy classification,"GCA_001791635.1, GCA_943359325.1, GCA_943356555.1, GCA_003518105.1, GCA_000996765.1"
ML635J-15,Bacteria,,GTDB_Only,No_Match,64,5,0,0,No verifiable NCBI taxonomy classification,"GCA_029570695.1, GCA_012523815.1, GCA_937982115.1, GCA_017994175.1, GCA_902762455.1"
SC72,Bacteria,,GTDB_Only,No_Match,63,16,0,0,No verifiable NCBI taxonomy classification,"GCA_021463465.1, GCA_002403195.1, GCA_903875565.1, GCA_012797935.1, GCA_011620305.1"
FEB-12,Bacteria,,GTDB_Only,No_Match,62,28,0,0,No verifiable NCBI taxonomy classification,"GCA_029858555.1, GCA_024277795.1, GCA_016213305.1, GCA_024230675.1, GCA_021163775.1"
UBA6164,Bacteria,,GTDB_Only,No_Match,60,23,0,0,No verifiable NCBI taxonomy classification,"GCA_938015605.1, GCA_020629795.1, GCA_018623505.1, GCA_002749055.1, GCA_937944145.1"
JAKAQQ01,Bacteria,,GTDB_Only,No_Match,59,3,0,0,No verifiable NCBI taxonomy classification,"GCA_027313025.1, GCA_027455805.1, GCA_027436635.1, GCA_027339555.1, GCA_021852405.1"
SZUA-36,Bacteria,,GTDB_Only,No_Match,59,15,0,0,No verifiable NCBI taxonomy classification,"GCA_011524975.1, GCA_937974465.1, GCF_008725655.1, GCA_029860885.1, GCA_014238945.1"
JABMPR01,Bacteria,,GTDB_Only,No_Match,58,2,0,0,No verifiable NCBI taxonomy classification,"GCA_021734275.1, GCA_018656905.1, GCA_018700435.1, GCA_018662545.1, GCA_018669375.1"
JAKASW01,Bacteria,,GTDB_Only,No_Match,58,1,0,0,No verifiable NCBI taxonomy classification,"GCA_027372225.1, GCA_027400795.1, GCA_021839665.1, GCA_027401055.1, GCA_023474965.1"
UBA10102,Bacteria,,GTDB_Only,No_Match,58,18,0,0,No verifiable NCBI taxonomy classification,"GCA_030698665.1, GCA_007375675.1, GCA_016203455.1, GCA_001003505.1, GCA_001824975.1"
MFAQ01,Bacteria,,GTDB_Only,No_Match,57,6,0,0,No verifiable NCBI taxonomy classification,"GCA_903917295.1, GCA_000997955.1, GCA_002770845.1, GCA_001776255.1, GCA_001001365.1"
2-01-FULL-56-20,Bacteria,,GTDB_Only,No_Match,57,25,0,0,No verifiable NCBI taxonomy classification,"GCA_016182105.1, GCA_028865265.1, GCA_027308915.1, GCA_021827685.1, GCA_027352685.1"
UBA10348,Bacteria,,GTDB_Only,No_Match,56,10,0,0,No verifiable NCBI taxonomy classification,"GCA_943845075.1, GCA_022567305.1, GCA_018662045.1, GCA_943842325.1, GCA_018623785.1"
Bog-38,Archaea,,GTDB_Only,No_Match,56,1,0,0,No verifiable NCBI taxonomy classification,"GCA_003162195.1, GCA_002509385.1, GCA_003163595.1, GCA_003169565.1, GCA_003132625.1"
Zapsychraceae,Bacteria,,GTDB_Only,No_Match,54,20,0,0,No verifiable NCBI taxonomy classification,"GCA_023247445.1, GCA_018896855.1, GCA_003528115.1, GCA_001805655.1, GCA_015233495.1"
GW2011-AR4,Archaea,,GTDB_Only,No_Match,54,11,0,0,No verifiable NCBI taxonomy classification,"GCA_016185715.1, GCA_016181325.1, GCA_030751755.1, GCA_016187465.1, GCA_013330865.1"
UBA1402,Bacteria,,GTDB_Only,No_Match,52,3,0,0,No verifiable NCBI taxonomy classification,"GCA_028686515.1, GCA_022708325.1, GCA_017631575.1, GCA_002379805.1, GCA_028685935.1"
DSM-16500,Bacteria,,GTDB_Only,No_Match,51,23,0,0,No verifiable NCBI taxonomy classification,"GCA_013288815.1, GCA_001801575.1, GCA_001801665.1, GCA_021324305.1, GCA_013288395.1"
UBA1568,Bacteria,,GTDB_Only,No_Match,51,8,0,0,No verifiable NCBI taxonomy classification,"GCA_016699385.1, GCA_903859375.1, GCA_016699975.1, GCA_016699425.1, GCA_001784735.1"
S15-B10,Bacteria,,GTDB_Only,No_Match,51,5,0,0,No verifiable NCBI taxonomy classification,"GCA_030745265.1, GCA_012966095.1, GCA_002169785.1, GCA_002729175.1, GCA_002346965.1"
Heimdallarchaeaceae,Archaea,,GTDB_Only,No_Match,51,3,0,0,No verifiable NCBI taxonomy classification,"GCA_021399335.1, GCA_025960485.1, GCA_030603365.1, GCA_019894795.1, GCA_002505645.1"
UBA2023,Bacteria,,GTDB_Only,No_Match,50,15,0,0,No verifiable NCBI taxonomy classification,"GCA_028714815.1, GCA_014377305.1, GCA_002786835.1, GCA_002323075.1, GCA_936941205.1"
UBA927,Bacteria,,GTDB_Only,No_Match,50,17,0,0,No verifiable NCBI taxonomy classification,"GCA_027424485.1, GCA_016182725.1, GCA_018829925.1, GCA_020057765.1, GCA_016218255.1"
GWA1-40-21,Bacteria,,GTDB_Only,No_Match,49,4,0,0,No verifiable NCBI taxonomy classification,"GCA_903868205.1, GCA_903872665.1, GCA_903832805.1, GCA_903883545.1, GCA_903850545.1"
UBA1234,Bacteria,,GTDB_Only,No_Match,48,5,0,0,No verifiable NCBI taxonomy classification,"GCA_927798225.1, GCA_947588905.1, GCA_934169655.1, GCA_017469465.1, GCA_017462965.1"
TCS64,Archaea,,GTDB_Only,No_Match,48,8,0,0,No verifiable NCBI taxonomy classification,"GCA_020697635.1, GCA_013329615.1, GCA_020346605.1, GCA_018396695.1, GCA_001774245.1"
REEB76,Bacteria,,GTDB_Only,No_Match,48,1,0,0,No verifiable NCBI taxonomy classification,"GCA_027440885.1, GCA_018971605.1, GCA_027440995.1, GCA_027440535.1, GCA_027440605.1"
UBA9933,Bacteria,,GTDB_Only,No_Match,48,17,0,0,No verifiable NCBI taxonomy classification,"GCA_016933365.1, GCA_002789575.1, GCA_021791445.1, GCA_001000945.1, GCA_030017615.1"
GWA2-41-24,Bacteria,,GTDB_Only,No_Match,48,16,0,0,No verifiable NCBI taxonomy classification,"GCA_001774785.1, GCA_001775055.1, GCA_001775005.1, GCA_024654445.1, GCA_001774995.1"
UBA2359,Bacteria,,GTDB_Only,No_Match,47,18,0,0,No verifiable NCBI taxonomy classification,"GCA_937927195.1, GCA_002343305.1, GCA_016700115.1, GCA_016702425.1, GCA_963169945.1"
AAA164-E04,Bacteria,,GTDB_Only,No_Match,47,4,0,0,No verifiable NCBI taxonomy classification,"GCA_913042815.1, GCA_913061285.1, GCA_000383715.1, GCA_937910595.1, GCA_029247315.1"
UBA1820,Bacteria,,GTDB_Only,No_Match,47,1,0,0,No verifiable NCBI taxonomy classification,"GCA_950097315.1, GCA_028709885.1, GCA_927360035.1, GCA_959608625.1, GCA_902462305.1"
SZUA-140,Bacteria,,GTDB_Only,No_Match,46,2,0,0,No verifiable NCBI taxonomy classification,"GCA_027046025.1, GCA_026981935.1, GCA_027059615.1, GCA_015492445.1, GCA_015488555.1"
Aquincolibacteriaceae,Bacteria,,GTDB_Only,No_Match,46,18,0,0,No verifiable NCBI taxonomy classification,"GCA_903819565.1, GCA_018883425.1, GCA_903820505.1, GCA_019052695.1, GCA_002329545.1"
Vermiphilaceae,Bacteria,,GTDB_Only,No_Match,46,26,0,0,No verifiable NCBI taxonomy classification,"GCA_001468865.1, GCA_027404905.1, GCA_003963225.1, GCA_020850675.1, GCA_021833825.1"
UBA2199,Bacteria,,GTDB_Only,No_Match,46,8,0,0,No verifiable NCBI taxonomy classification,"GCA_016934475.1, GCA_030626715.1, GCA_011771905.1, GCA_016926835.1, GCA_030620255.1"
UBA5629,Bacteria,,GTDB_Only,No_Match,46,6,0,0,No verifiable NCBI taxonomy classification,"GCA_026389695.1, GCA_903844685.1, GCA_028714195.1, GCA_903910575.1, GCA_026389675.1"
UBA2968,Bacteria,,GTDB_Only,No_Match,46,5,0,0,No verifiable NCBI taxonomy classification,"GCA_009843105.1, GCA_022823725.1, GCA_009835725.1, GCA_002720695.1, GCA_009842305.1"
Colwellbacteraceae,Bacteria,,GTDB_Only,No_Match,46,20,0,0,No verifiable NCBI taxonomy classification,"GCA_913009745.1, GCA_028871435.1, GCA_001817835.1, GCA_023476555.1, GCA_028710275.1"
UBA1135,Bacteria,,GTDB_Only,No_Match,45,17,0,0,No verifiable NCBI taxonomy classification,"GCA_029251605.1, GCA_018648375.1, GCA_008501825.1, GCA_030750535.1, GCA_028821845.1"
Xenobiaceae,Bacteria,,GTDB_Only,No_Match,45,4,0,0,No verifiable NCBI taxonomy classification,"GCA_934667685.1, GCA_022838225.1, GCA_017444045.1, GCA_012799975.1, GCA_002439625.1"
LL51,Bacteria,,GTDB_Only,No_Match,44,5,0,0,No verifiable NCBI taxonomy classification,"GCA_031267435.1, GCA_031268545.1, GCA_031258695.1, GCA_031276935.1, GCA_031273725.1"
Bin125,Bacteria,,GTDB_Only,No_Match,44,5,0,0,No verifiable NCBI taxonomy classification,"GCA_009840315.1, GCA_028874415.1, GCA_009841545.1, GCA_028875585.1, GCA_009843075.1"
UBA1146,Bacteria,,GTDB_Only,No_Match,44,5,0,0,No verifiable NCBI taxonomy classification,"GCA_011526295.1, GCA_018692235.1, GCA_029976805.1, GCA_018667595.1, GCA_002711105.1"
2013-40CM-41-45,Bacteria,,GTDB_Only,No_Match,43,9,0,0,No verifiable NCBI taxonomy classification,"GCA_937871435.1, GCA_026391945.1, GCA_016720655.1, GCA_016707305.1, GCA_016719005.1"
ARS49,Archaea,,GTDB_Only,No_Match,43,21,0,0,No verifiable NCBI taxonomy classification,"GCA_019323135.1, GCA_014729505.1, GCA_019323255.1, GCA_016203265.1, GCA_016188265.1"
UBA6906,Bacteria,,GTDB_Only,No_Match,42,14,0,0,No verifiable NCBI taxonomy classification,"GCA_003157155.1, GCA_003158965.1, GCA_003154425.1, GCA_027295705.1, GCA_003171415.1"
UBA7434,Bacteria,,GTDB_Only,No_Match,42,1,0,0,No verifiable NCBI taxonomy classification,"GCA_018662505.1, GCA_002339085.1, GCA_028039795.1, GCA_937911115.1, GCA_913052385.1"
JADIYW01,Bacteria,,GTDB_Only,No_Match,42,4,0,0,No verifiable NCBI taxonomy classification,"GCA_016709805.1, GCA_020436225.1, GCA_020436175.1, GCA_937868665.1, GCA_016705195.1"
SCQP01,Bacteria,,GTDB_Only,No_Match,40,7,0,0,No verifiable NCBI taxonomy classification,"GCA_021827785.1, GCA_021823305.1, GCA_937898755.1, GCA_027389445.1, GCA_021818955.1"
UBA164,Archaea,,GTDB_Only,No_Match,40,2,0,0,No verifiable NCBI taxonomy classification,"GCA_029786475.1, GCA_023381255.1, GCA_029786655.1, GCA_029784715.1, GCA_029786595.1"
UBA12075,Bacteria,,GTDB_Only,No_Match,40,10,0,0,No verifiable NCBI taxonomy classification,"GCA_003508365.1, GCA_001778135.1, GCA_001778255.1, GCA_030637645.1, GCA_001778325.1"
2-01-FULL-45-10,Bacteria,,GTDB_Only,No_Match,40,18,0,0,No verifiable NCBI taxonomy classification,"GCA_023247415.1, GCA_020057115.1, GCA_029004355.1, GCA_003140915.1, GCA_030695725.1"
LOWO2-01-FULL-3,Bacteria,,GTDB_Only,No_Match,40,20,0,0,No verifiable NCBI taxonomy classification,"GCA_943358175.1, GCA_007133095.1, GCA_030688025.1, GCA_002772535.1, GCA_018653375.1"
Aquiviventaceae,Bacteria,,GTDB_Only,No_Match,40,25,0,0,No verifiable NCBI taxonomy classification,"GCA_016179785.1, GCA_002796105.1, GCA_001805695.1, GCA_016180605.1, GCA_029261015.1"
UBA3824,Bacteria,,GTDB_Only,No_Match,39,1,0,0,No verifiable NCBI taxonomy classification,"GCA_017530465.1, GCA_947167675.1, GCA_905233995.1, GCA_017962175.1, GCA_017394445.1"
UBA6901,Bacteria,,GTDB_Only,No_Match,39,4,0,0,No verifiable NCBI taxonomy classification,"GCA_027439475.1, GCA_021785515.1, GCA_027340665.1, GCA_021819085.1, GCA_027439435.1"
GBS-DC,Bacteria,,GTDB_Only,No_Match,39,6,0,0,No verifiable NCBI taxonomy classification,"GCA_937942095.1, GCA_003695875.1, GCA_001536265.1, GCA_001442875.1, GCA_937139515.1"
C00003060,Bacteria,,GTDB_Only,No_Match,39,13,0,0,No verifiable NCBI taxonomy classification,"GCA_028572105.1, GCA_016930875.1, GCA_013375375.1, GCA_019309245.1, GCA_021159145.1"
BMS3ABIN01,Bacteria,,GTDB_Only,No_Match,39,8,0,0,No verifiable NCBI taxonomy classification,"GCA_014874265.1, GCA_027371445.1, GCA_028065365.1, GCA_027392855.1, GCA_002897715.1"
GWC2-55-46,Bacteria,,GTDB_Only,No_Match,39,13,0,0,No verifiable NCBI taxonomy classification,"GCA_016219025.1, GCA_019454485.1, GCA_015075075.1, GCA_016235365.1, GCA_016219075.1"
Fen-1088,Bacteria,,GTDB_Only,No_Match,38,6,0,0,No verifiable NCBI taxonomy classification,"GCA_003160835.1, GCA_003136095.1, GCA_003154615.1, GCA_017881315.1, GCA_003136995.1"
TTA-H9,Bacteria,,GTDB_Only,No_Match,38,5,0,0,No verifiable NCBI taxonomy classification,"GCA_018058605.1, GCA_018056495.1, GCA_001509275.1, GCA_012516975.1, GCA_028689615.1"
GW2011-AR17,Archaea,,GTDB_Only,No_Match,38,11,0,0,No verifiable NCBI taxonomy classification,"GCA_018649855.1, GCA_018648525.1, GCA_013331795.1, GCA_023245755.1, GCA_018673755.1"
GWA2-37-8,Bacteria,,GTDB_Only,No_Match,38,18,0,0,No verifiable NCBI taxonomy classification,"GCA_009694865.1, GCA_007376295.1, GCA_004321885.1, GCA_030650025.1, GCA_026396515.1"
Lenti-01,Bacteria,,GTDB_Only,No_Match,37,6,0,0,No verifiable NCBI taxonomy classification,"GCA_028685475.1, GCA_017540905.1, GCA_902766695.1, GCA_017458625.1, GCA_002347655.1"
D37C17,Bacteria,,GTDB_Only,No_Match,37,1,0,0,No verifiable NCBI taxonomy classification,"GCA_950072205.1, GCA_950054305.1, GCA_950069315.1, GCA_014381415.1, GCA_950076015.1"
GWA2-36-10,Bacteria,,GTDB_Only,No_Match,37,14,0,0,No verifiable NCBI taxonomy classification,"GCA_937870675.1, GCA_000991205.1, GCA_001818495.1, GCA_030916765.1, GCA_018062885.1"
Fen-1342,Bacteria,,GTDB_Only,No_Match,37,25,0,0,No verifiable NCBI taxonomy classification,"GCA_015709575.1, GCA_030428945.1, GCA_900696535.1, GCA_022574815.1, GCA_017999985.1"
40CM-2-53-6,Archaea,,GTDB_Only,No_Match,36,3,0,0,No verifiable NCBI taxonomy classification,"GCA_005881695.1, GCA_005884195.1, GCA_001919285.1, GCA_005882905.1, GCA_005883075.1"
UBA920,Bacteria,,GTDB_Only,No_Match,36,10,0,0,No verifiable NCBI taxonomy classification,"GCA_016218585.1, GCA_021789715.1, GCA_023484515.1, GCA_023245955.1, GCA_028870105.1"
UBA1550,Bacteria,,GTDB_Only,No_Match,36,1,0,0,No verifiable NCBI taxonomy classification,"GCA_001825075.1, GCA_002771115.1, GCA_001000355.1, GCA_002789055.1, GCA_003508085.1"
Palsa-948,Bacteria,,GTDB_Only,No_Match,36,2,0,0,No verifiable NCBI taxonomy classification,"GCA_023251675.1, GCA_016213435.1, GCA_023251625.1, GCA_003164895.1, GCA_016195025.1"
JAJZLI01,Bacteria,,GTDB_Only,No_Match,35,5,0,0,No verifiable NCBI taxonomy classification,"GCA_021846685.1, GCA_027424975.1, GCA_027424895.1, GCA_021785355.1, GCA_021803645.1"
