family,domain,family_counts,taxid,lineage,lineage_ranks,lineage_taxids
Flavobacteriaceae,Bacteria,5291,103796956,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae,superkingdom;phylum;class;order;family,81602897;504177835;618517539;899814506;103796956
Xanthomonadaceae,Bacteria,4639,1580828919,Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1367557353;1580828919
Rhodobacteraceae,Bacteria,4590,2112964537,Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;1026101162;2112964537
Neisseriaceae,Bacteria,4428,255213157,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Neisseriaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;2074272703;255213157
UBA932,Bacteria,3851,197115546,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;UBA932,superkingdom;phylum;class;order;family,81602897;504177835;618517539;592771697;197115546
Helicobacteraceae,Bacteria,3795,1031896360,Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae,superkingdom;phylum;class;order;family,81602897;1536518028;1492690008;536303497;1031896360
Bifidobacteriaceae,Bacteria,3723,826470949,Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Bifidobacteriaceae,superkingdom;phylum;class;order;family,81602897;922471546;1737519761;1573521454;826470949
Peptostreptococcaceae,Bacteria,3563,608751832,Bacteria;Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;1405415686;608751832
Borkfalkiaceae,Bacteria,3413,219009953,Bacteria;Bacillota;Clostridia;Christensenellales;Borkfalkiaceae,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;1390569891;219009953
Streptomycetaceae,Bacteria,3283,363185528,Bacteria;Actinomycetota;Actinomycetes;Streptomycetales;Streptomycetaceae,superkingdom;phylum;class;order;family,81602897;922471546;1737519761;597745814;363185528
UBA660,Bacteria,3181,1058437035,Bacteria;Bacillota;Bacilli;RF39;UBA660,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;190781818;1058437035
Pasteurellaceae,Bacteria,3117,155920919,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Pasteurellaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1851777887;155920919
Clostridiaceae,Bacteria,2945,1363850935,Bacteria;Bacillota;Clostridia;Clostridiales;Clostridiaceae,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;1855031383;1363850935
Microbacteriaceae,Bacteria,2688,540902950,Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Microbacteriaceae,superkingdom;phylum;class;order;family,81602897;922471546;1737519761;1573521454;540902950
Sphingomonadaceae,Bacteria,2673,1882877288,Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;1968682271;1882877288
Erysipelotrichaceae,Bacteria,2415,1830755706,Bacteria;Bacillota;Bacilli;Erysipelotrichales;Erysipelotrichaceae,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;1353929491;1830755706
Coriobacteriaceae,Bacteria,2355,633506048,Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae,superkingdom;phylum;class;order;family,81602897;922471546;925602908;386264069;633506048
CAG-508,Bacteria,2228,1665096003,Bacteria;Bacillota;Clostridia;TANB77;CAG-508,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;1695692735;1665096003
Akkermansiaceae,Bacteria,2106,1217766786,Bacteria;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae,superkingdom;phylum;class;order;family,81602897;605906842;1950791653;1087024702;1217766786
Pelagibacteraceae,Bacteria,1917,461648313,Bacteria;Pseudomonadota;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;1022984761;461648313
Tannerellaceae,Bacteria,1904,1382572793,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae,superkingdom;phylum;class;order;family,81602897;504177835;618517539;592771697;1382572793
Gastranaerophilaceae,Bacteria,1889,821296039,Bacteria;Cyanobacteriota;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae,superkingdom;phylum;class;order;family,81602897;15887558;2041553581;1835054608;821296039
Chitinophagaceae,Bacteria,1877,777550074,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae,superkingdom;phylum;class;order;family,81602897;504177835;618517539;692377512;777550074
Desulfovibrionaceae,Bacteria,1781,553902920,Bacteria;Desulfobacterota_I;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae,superkingdom;phylum;class;order;family,81602897;1228655830;1240458731;1845795526;553902920
Acetobacteraceae,Bacteria,1658,915913853,Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;1043268367;915913853
Alteromonadaceae,Bacteria,1645,1763759227,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Alteromonadaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1851777887;1763759227
Micrococcaceae,Bacteria,1595,95998147,Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Micrococcaceae,superkingdom;phylum;class;order;family,81602897;922471546;1737519761;1573521454;95998147
Marinifilaceae,Bacteria,1563,112614017,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae,superkingdom;phylum;class;order;family,81602897;504177835;618517539;592771697;112614017
Anaplasmataceae,Bacteria,1462,19973719,Bacteria;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Anaplasmataceae,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;1739444295;19973719
Cyanobiaceae,Bacteria,1427,1527008595,Bacteria;Cyanobacteriota;Cyanobacteriia;PCC-6307;Cyanobiaceae,superkingdom;phylum;class;order;family,81602897;15887558;1606220747;1768303706;1527008595
Legionellaceae,Bacteria,1421,390268900,Bacteria;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1225078585;390268900
Xanthobacteraceae,Bacteria,1411,49812073,Bacteria;Pseudomonadota;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;1585583143;49812073
Weeksellaceae,Bacteria,1390,1929020290,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae,superkingdom;phylum;class;order;family,81602897;504177835;618517539;899814506;1929020290
Eggerthellaceae,Bacteria,1367,784248044,Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Eggerthellaceae,superkingdom;phylum;class;order;family,81602897;922471546;925602908;386264069;784248044
Aeromonadaceae,Bacteria,1301,1388292156,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Aeromonadaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1851777887;1388292156
Treponemataceae,Bacteria,1288,1707927319,Bacteria;Spirochaetota;Spirochaetia;Treponematales;Treponemataceae,superkingdom;phylum;class;order;family,81602897;39784000;1693206508;1171443428;1707927319
CAG-272,Bacteria,1254,1209976093,Bacteria;Bacillota;Clostridia;Oscillospirales;CAG-272,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;855679871;1209976093
Nanopelagicaceae,Bacteria,1250,1044391351,Bacteria;Actinomycetota;Actinomycetes;Nanopelagicales;Nanopelagicaceae,superkingdom;phylum;class;order;family,81602897;922471546;1737519761;801530951;1044391351
Anaerovoracaceae,Bacteria,1142,2059980004,Bacteria;Bacillota;Clostridia;Peptostreptococcales;Anaerovoracaceae,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;1405415686;2059980004
Francisellaceae,Bacteria,1136,1109505661,Bacteria;Pseudomonadota;Gammaproteobacteria;Francisellales;Francisellaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1107100491;1109505661
Beijerinckiaceae,Bacteria,1113,1100687725,Bacteria;Pseudomonadota;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;1585583143;1100687725
Propionibacteriaceae,Bacteria,1106,1496693703,Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae,superkingdom;phylum;class;order;family,81602897;922471546;1737519761;743567839;1496693703
Atopobiaceae,Bacteria,1094,702606433,Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae,superkingdom;phylum;class;order;family,81602897;922471546;925602908;386264069;702606433
UBA3700,Bacteria,1054,1546916103,Bacteria;Bacillota;Clostridia;Christensenellales;UBA3700,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;1390569891;1546916103
Rhodocyclaceae,Bacteria,1043,195443147,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;2074272703;195443147
CAG-239,Bacteria,1033,914179661,Bacteria;Pseudomonadota;Alphaproteobacteria;RF32;CAG-239,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;1465701043;914179661
Aristaeellaceae,Bacteria,1021,1910451896,Bacteria;Bacillota;Clostridia;Christensenellales;Aristaeellaceae,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;1390569891;1910451896
Paludibacteraceae,Bacteria,994,587262372,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae,superkingdom;phylum;class;order;family,81602897;504177835;618517539;592771697;587262372
Paenibacillaceae,Bacteria,982,199785185,Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;1391466303;199785185
Actinomycetaceae,Bacteria,977,300353966,Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae,superkingdom;phylum;class;order;family,81602897;922471546;1737519761;1573521454;300353966
Metamycoplasmataceae,Bacteria,956,1684516053,Bacteria;Bacillota;Bacilli;Mycoplasmatales;Metamycoplasmataceae,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;552711094;1684516053
Leptospiraceae,Bacteria,956,1133765742,Bacteria;Spirochaetota;Leptospiria;Leptospirales;Leptospiraceae,superkingdom;phylum;class;order;family,81602897;39784000;1425250793;1306176705;1133765742
Coprobacillaceae,Bacteria,927,1779457098,Bacteria;Bacillota;Bacilli;Erysipelotrichales;Coprobacillaceae,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;1353929491;1779457098
UBA1242,Bacteria,896,1260226433,Bacteria;Bacillota;Clostridia;Christensenellales;UBA1242,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;1390569891;1260226433
Caulobacteraceae,Bacteria,861,487950421,Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;416080752;487950421
Saprospiraceae,Bacteria,856,598118257,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae,superkingdom;phylum;class;order;family,81602897;504177835;618517539;692377512;598118257
RAAP-2,Bacteria,834,1999909799,Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;RAAP-2,superkingdom;phylum;class;order;family,81602897;922471546;377422747;1596481911;1999909799
Sphingobacteriaceae,Bacteria,820,765780918,Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae,superkingdom;phylum;class;order;family,81602897;504177835;618517539;1501777722;765780918
Selenomonadaceae,Bacteria,730,289483714,Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae,superkingdom;phylum;class;order;family,81602897;131003083;440945044;488323374;289483714
CAG-138,Bacteria,725,732056843,Bacteria;Bacillota;Clostridia;Christensenellales;CAG-138,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;1390569891;732056843
Rs-D84,Bacteria,718,1460470014,Bacteria;Pseudomonadota;Alphaproteobacteria;Rs-D84,superkingdom;phylum;class;order,81602897;1712663402;623498299;1460470014
Opitutaceae,Bacteria,709,1619730440,Bacteria;Verrucomicrobiota;Verrucomicrobiia;Opitutales;Opitutaceae,superkingdom;phylum;class;order;family,81602897;605906842;1950791653;775196229;1619730440
Methanobacteriaceae,Archaea,701,1265569338,Archaea;Methanobacteriota;Methanobacteria;Methanobacteriales;Methanobacteriaceae,superkingdom;phylum;class;order;family,1337977286;361030032;782406929;1795422951;1265569338
Thermoplasmataceae,Archaea,691,348398405,Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae,superkingdom;phylum;class;order;family,1337977286;1319660302;1680928555;1568796810;348398405
Halomonadaceae,Bacteria,688,779404291,Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Halomonadaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1250912789;779404291
Nanosyncoccaceae,Bacteria,680,195958398,Bacteria;Patescibacteriota;Saccharimonadia;Saccharimonadales;Nanosyncoccaceae,superkingdom;phylum;class;order;family,81602897;1184272463;1377863046;1184711150;195958398
Methylomonadaceae,Bacteria,679,1845560918,Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylomonadaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;39742332;1845560918
Pumilibacteraceae,Bacteria,679,1753791777,Bacteria;Bacillota;Clostridia;Christensenellales;Pumilibacteraceae,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;1390569891;1753791777
Cyclobacteriaceae,Bacteria,665,796057627,Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae,superkingdom;phylum;class;order;family,81602897;504177835;618517539;2042724353;796057627
Shewanellaceae,Bacteria,662,329084694,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Shewanellaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1851777887;329084694
Acidaminococcaceae,Bacteria,657,1860107176,Bacteria;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae,superkingdom;phylum;class;order;family,81602897;131003083;440945044;20843235;1860107176
P3,Bacteria,655,1903908753,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;P3,superkingdom;phylum;class;order;family,81602897;504177835;618517539;592771697;1903908753
Butyricicoccaceae,Bacteria,645,1949278445,Bacteria;Bacillota;Clostridia;Oscillospirales;Butyricicoccaceae,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;855679871;1949278445
Methylophilaceae,Bacteria,641,295765544,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Methylophilaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;2074272703;295765544
Acidobacteriaceae,Bacteria,618,354524460,Bacteria;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae,superkingdom;phylum;class;order;family,81602897;884358093;1682859313;352038178;354524460
Nitrosopumilaceae,Archaea,617,1134126407,Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;Nitrosopumilaceae,superkingdom;phylum;class;order;family,1337977286;1464800560;283310308;1470417323;1134126407
Anaeroplasmataceae,Bacteria,615,24385935,Bacteria;Bacillota;Bacilli;Acholeplasmatales;Anaeroplasmataceae,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;305512438;24385935
CAG-826,Bacteria,610,303179752,Bacteria;Bacillota;Bacilli;RFN20;CAG-826,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;1827297323;303179752
Planococcaceae,Bacteria,607,1113740824,Bacteria;Bacillota;Bacilli;Bacillales_A;Planococcaceae,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;1044653840;1113740824
Mycoplasmoidaceae,Bacteria,600,594204436,Bacteria;Bacillota;Bacilli;Mycoplasmatales;Mycoplasmoidaceae,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;552711094;594204436
Micromonosporaceae,Bacteria,598,954967716,Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Micromonosporaceae,superkingdom;phylum;class;order;family,81602897;922471546;1737519761;720352763;954967716
Steroidobacteraceae,Bacteria,597,1663754103,Bacteria;Pseudomonadota;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;402260017;1663754103
Ilumatobacteraceae,Bacteria,597,464455275,Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae,superkingdom;phylum;class;order;family,81602897;922471546;377422747;1596481911;464455275
Pseudonocardiaceae,Bacteria,595,1993475860,Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Pseudonocardiaceae,superkingdom;phylum;class;order;family,81602897;922471546;1737519761;720352763;1993475860
Nostocaceae,Bacteria,590,250286824,Bacteria;Cyanobacteriota;Cyanobacteriia;Cyanobacteriales;Nostocaceae,superkingdom;phylum;class;order;family,81602897;15887558;1606220747;1921604596;250286824
Anaerotignaceae,Bacteria,583,1840763853,Bacteria;Bacillota;Clostridia;Lachnospirales;Anaerotignaceae,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;827000254;1840763853
Thalassarchaeaceae,Archaea,575,1662757307,Archaea;Thermoplasmatota;Poseidoniia;Poseidoniales;Thalassarchaeaceae,superkingdom;phylum;class;order;family,1337977286;1319660302;125069547;715532765;1662757307
Streptosporangiaceae,Bacteria,573,1024990979,Bacteria;Actinomycetota;Actinomycetes;Streptosporangiales;Streptosporangiaceae,superkingdom;phylum;class;order;family,81602897;922471546;1737519761;2116927484;1024990979
Mucispirillaceae,Bacteria,566,1438328658,Bacteria;Chrysiogenota;Deferribacteres;Deferribacterales;Mucispirillaceae,superkingdom;phylum;class;order;family,81602897;1406000169;1942809099;660878077;1438328658
Peptoniphilaceae,Bacteria,558,1824766806,Bacteria;Bacillota;Clostridia;Tissierellales;Peptoniphilaceae,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;1810738345;1824766806
Fusobacteriaceae,Bacteria,542,716880026,Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae,superkingdom;phylum;class;order;family,81602897;1100026331;699197850;2137386334;716880026
Borreliaceae,Bacteria,542,1674281091,Bacteria;Spirochaetota;Spirochaetia;Borreliales;Borreliaceae,superkingdom;phylum;class;order;family,81602897;39784000;1693206508;1464829940;1674281091
Crocinitomicaceae,Bacteria,542,680719400,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae,superkingdom;phylum;class;order;family,81602897;504177835;618517539;899814506;680719400
Nocardioidaceae,Bacteria,540,1704230309,Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae,superkingdom;phylum;class;order;family,81602897;922471546;1737519761;743567839;1704230309
Chlorobiaceae,Bacteria,523,1556802160,Bacteria;Bacteroidota_A;Chlorobiia;Chlorobiales;Chlorobiaceae,superkingdom;phylum;class;order;family,81602897;95618103;122645226;993149581;1556802160
Azotimanducaceae,Bacteria,520,1999076095,Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Azotimanducaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1250912789;1999076095
Micrarchaeaceae,Archaea,517,2097153749,Archaea;Micrarchaeota;Micrarchaeia;Micrarchaeales;Micrarchaeaceae,superkingdom;phylum;class;order;family,1337977286;741135215;276043747;1920424780;2097153749
Arcobacteraceae,Bacteria,511,838407141,Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae,superkingdom;phylum;class;order;family,81602897;1536518028;1492690008;536303497;838407141
Veillonellaceae,Bacteria,498,1175541827,Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae,superkingdom;phylum;class;order;family,81602897;131003083;440945044;993619471;1175541827
Chlamydiaceae,Bacteria,496,927367092,Bacteria;Chlamydiota;Chlamydiia;Chlamydiales;Chlamydiaceae,superkingdom;phylum;class;order;family,81602897;1417588462;1218949594;1568705753;927367092
Sedimenticolaceae,Bacteria,468,1969539177,Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Sedimenticolaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1883127445;1969539177
Aerococcaceae,Bacteria,467,488720778,Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;57970979;488720778
CAG-917,Bacteria,461,867776705,Bacteria;Bacillota;Clostridia;Christensenellales;CAG-917,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;1390569891;867776705
Poseidoniaceae,Archaea,460,130716138,Archaea;Thermoplasmatota;Poseidoniia;Poseidoniales;Poseidoniaceae,superkingdom;phylum;class;order;family,1337977286;1319660302;125069547;715532765;130716138
SM1A02,Bacteria,454,1948612221,Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;SM1A02,superkingdom;phylum;class;order;family,81602897;678426958;623639364;372438653;1948612221
Pseudohongiellaceae,Bacteria,440,495042424,Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudohongiellaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1250912789;495042424
Rhodanobacteraceae,Bacteria,439,1292576052,Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1367557353;1292576052
Microcystaceae,Bacteria,421,2058813034,Bacteria;Cyanobacteriota;Cyanobacteriia;Cyanobacteriales;Microcystaceae,superkingdom;phylum;class;order;family,81602897;15887558;1606220747;1921604596;2058813034
UBA184,Archaea,421,1448012793,Archaea;Thermoplasmatota;Thermoplasmata;UBA184,superkingdom;phylum;class;order,1337977286;1319660302;1680928555;1448012793
Dermatophilaceae,Bacteria,419,2034868303,Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Dermatophilaceae,superkingdom;phylum;class;order;family,81602897;922471546;1737519761;1573521454;2034868303
Bryobacteraceae,Bacteria,414,310813265,Bacteria;Acidobacteriota;Terriglobia;Bryobacterales;Bryobacteraceae,superkingdom;phylum;class;order;family,81602897;884358093;1682859313;1578842356;310813265
DSM-18226,Bacteria,403,492658956,Bacteria;Bacillota;Bacilli;Bacillales_B;DSM-18226,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;1271882805;492658956
F082,Bacteria,400,1188174459,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;F082,superkingdom;phylum;class;order;family,81602897;504177835;618517539;592771697;1188174459
Pirellulaceae,Bacteria,398,1466276185,Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae,superkingdom;phylum;class;order;family,81602897;678426958;1772024279;1753514380;1466276185
Succinivibrionaceae,Bacteria,395,1731839943,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Succinivibrionaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1851777887;1731839943
Oleiphilaceae,Bacteria,393,687861636,Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Oleiphilaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1250912789;687861636
Cellulomonadaceae,Bacteria,391,1531116382,Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Cellulomonadaceae,superkingdom;phylum;class;order;family,81602897;922471546;1737519761;1573521454;1531116382
