unclassified_name,count,sequence_count,division,family,genus,lineage_signature,example_centroids
"# Unclassified genus entries: 50,844 of 70,899 total",,,,,,,
Suctoria.U.genus,36,87,Alveolata,Suctoria.U.family,Suctoria.U.genus,Alveolata|Suctoria.U.family|Suctoria.U.genus,IMG_3300027771.a_Ga0209279_10008317; IMG_3300040801.a_Ga0450804_3498820; IMG_3300006164.a_Ga0075441_10037612
Sessilida.U.genus,35,109,Alveolata,Sessilida,Sessilida.U.genus,Alveolata|Sessilida|Sessilida.U.genus,IMG_3300036763.a_Ga0376079_0005437; REF_SPR_AB902108.1.1738_Eukaryota_SAR_Alveolata_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea_Peritrichia_Telotrochidium_uncultured_eukaryote; REF_SPR_AB902071.1.1733_Eukaryota_SAR_Alveolata_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea_Peritrichia_Zoothamnium_uncultured_eukaryote
Actinocephalidae.U.genus,34,87,Alveolata,Actinocephalidae,Actinocephalidae.U.genus,Alveolata|Actinocephalidae|Actinocephalidae.U.genus,REF_SPR_KT717659.1.2361_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Gregarinasina_Eugregarinorida_Nematopsis_Nematopsis_temporariae; REF_SPR_KT717642.1.2358_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Gregarinasina_Eugregarinorida_Nematopsis_Nematopsis_temporariae; REF_SPR_AF129883.1.1811_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Gregarinasina_Neogregarinorida_Ophryocystis_Ophryocystis_elektroscirrha
Perkinsida_X.U.genus,29,74,Alveolata,Perkinsida_X.U.family,Perkinsida_X.U.genus,Alveolata|Perkinsida_X.U.family|Perkinsida_X.U.genus,REF_SPR_GDKH01029260.1.1786_Eukaryota_SAR_Alveolata_Protalveolata_Colpodellida_Voromonas_Voromonas_pontica; REF_SPR_GQ149767.1.1769_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Coccidia_Eimeriorina_Rhytidocystis_Rhytidocystis_cyamus; REF_SPR_DQ244034.1.1712_Eukaryota_SAR_Alveolata_Protalveolata_Perkinsidae_A31_uncultured_alveolate
Gregarinidae.U.genus,27,187,Alveolata,Gregarinidae,Gregarinidae.U.genus,Alveolata|Gregarinidae|Gregarinidae.U.genus,IMG_3300001411.a_JGI20182J14882_100048; IMG_3300028452.a_Ga0307247_10005452; IMG_3300012674.a_Ga0153962_1001837
Dinoflagellata.U.genus,22,28,Alveolata,Dinoflagellata.U.family,Dinoflagellata.U.genus,Alveolata|Dinoflagellata.U.family|Dinoflagellata.U.genus,REF_SPR_FN598439.1.1838_Eukaryota_SAR_Alveolata_Protalveolata_Syndiniales_Syndinium_uncultured_marine_Syndiniales; REF_SPR_HM581715.1.1787_Eukaryota_uncultured_marine_eukaryote; REF_SPR_HM581714.1.1783_Eukaryota_SAR_Alveolata_Ciliophora_Intramacronucleata_Spirotrichea_Oligotrichia_Spirotontonia_uncultured_marine_eukaryote
Babesiidae.U.genus,20,90,Alveolata,Babesiidae,Babesiidae.U.genus,Alveolata|Babesiidae|Babesiidae.U.genus,REF_SPR_DQ329138.1.1734_Eukaryota_SAR_Alveolata_Apicomplexa_Aconoidasida_Piroplasmorida_Babesia_Babesia_sp._FP44; REF_SPR_DQ159075.1.1682_Eukaryota_SAR_Alveolata_Apicomplexa_Aconoidasida_Piroplasmorida_Babesia_Babesia_sp._Liaoning-2005; REF_SPR_AF158711.1.1671_U_18S_rRNA_nucleus__Eukaryota_Alveolata_Apicomplexa_Coccidiomorphea_Piroplasmorida_Babesiidae_Babesia10_Babesia10_sp.
Gregarinomorphea.U.genus,15,80,Alveolata,Gregarinomorphea.U.family,Gregarinomorphea.U.genus,Alveolata|Gregarinomorphea.U.family|Gregarinomorphea.U.genus,IMG_3300024344.a_Ga0209992_10011174; REF_SPR_FJ832159.1.1751_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Gregarinasina_Eugregarinorida_Urospora_Gregarinidae_sp._from_Paranemertes_peregrina_SR-2009a; IMG_3300032263.a_Ga0316195_10028743
Eimeriida.U.genus,6,20,Alveolata,Eimeriida.U.family,Eimeriida.U.genus,Alveolata|Eimeriida.U.family|Eimeriida.U.genus,REF_SPR_FJ904646.1.1866_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Coccidia_Eimeriorina_Calyptosporidae_Calyptospora_funduli; REF_SPR_GU479670.1.1826_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Coccidia_Eimeriorina_Calyptosporidae_Calyptospora_funduli; REF_SPR_KT025255.1.1757_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Coccidia_Eimeriorina_Goussia_clupearum
Cryptosporidiidae.U.genus,6,8,Alveolata,Cryptosporidiidae,Cryptosporidiidae.U.genus,Alveolata|Cryptosporidiidae|Cryptosporidiidae.U.genus,REF_SPR_AJ697751.1.1753_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Cryptosporida_Cryptosporidium_Cryptosporidium_struthionis; REF_SPR_AF372786.1.1518_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Cryptosporida_Cryptosporidium_uncultured_alveolate; REF_BRK_c-7813_conseq_Otu0523_42_soil_PuertoRico_Eukaryota_TSAR_Alveolata_Alveolata_X_Colpodellidea_Colpodellida_Colpodellaceae_Colpodellidae2_Colpodellidae2_sp_Species
Neogregarinorida.U.genus,5,9,Alveolata,Neogregarinorida.U.family,Neogregarinorida.U.genus,Alveolata|Neogregarinorida.U.family|Neogregarinorida.U.genus,IMG_3300042989.a_Ga0451690_0004523; REF_SPR_FJ865355.1.1752_U_18S_rRNA_nucleus__Eukaryota_Alveolata_Apicomplexa_Gregarinomorphea_Neogregarinorida_Actinocephalidae_Psychodiella_Psychodiella_sp.; REF_BRK_c-1328_conseq_Otu0442_20_freshwater_Skogaryd-fw_Eukaryota_TSAR_Alveolata_Division
Amoebozoa.U.genus,4214,15143,Amoebozoa.U.division,Amoebozoa.U.family,Amoebozoa.U.genus,Amoebozoa.U.division|Amoebozoa.U.family|Amoebozoa.U.genus,IMG_3300028585.a_Ga0265797_10025277; IMG_3300047172.a_Ga0495340_0014787_1; IMG_3300003403.a_JGI26532J50257_10002121
Archaeplastida.U.genus,342,1480,Archaeplastida.U.division,Archaeplastida.U.family,Archaeplastida.U.genus,Archaeplastida.U.division|Archaeplastida.U.family|Archaeplastida.U.genus,IMG_3300034009.a_Ga0334944_000574; REF_SPR_HF913647.1.2753_Eukaryota_Archaeplastida_Chloroplastida_Charophyta_Phragmoplastophyta_Streptophyta_Charophyceae_Charales_Chara_Chara_aspera; IMG_3300031813.a_Ga0316217_10006324
Centroplasthelida_X.U.genus,151,475,Centroplasthelida,Centroplasthelida_X.U.family,Centroplasthelida_X.U.genus,Centroplasthelida|Centroplasthelida_X.U.family|Centroplasthelida_X.U.genus,IMG_3300008263.a_Ga0114349_1002451; IMG_3300008264.a_Ga0114353_1010146; IMG_3300031036.a_Ga0073978_1019917
Chlorophyta_X.U.genus,499,2267,Chlorophyta,Chlorophyta_X.U.family,Chlorophyta_X.U.genus,Chlorophyta|Chlorophyta_X.U.family|Chlorophyta_X.U.genus,IMG_3300008265.a_Ga0114361_1010994; IMG_3300021577.a_Ga0226818_1000932; IMG_3300042875.a_Ga0453091_003930
Chlorellales_X.U.genus,255,2704,Chlorophyta,Chlorellales_X,Chlorellales_X.U.genus,Chlorophyta|Chlorellales_X|Chlorellales_X.U.genus,IMG_3300038696.a_Ga0400669_003343; IMG_3300042289.a_Ga0453148_0012922; REF_SPR_JQ315799.1.3183_Eukaryota_Archaeplastida_Chloroplastida_Chlorophyta_Trebouxiophyceae_Chlorellales_Oocystis_Oocystis_sp._KMMCC_251
Chlamydomonadales_X.U.genus,191,1360,Chlorophyta,Chlamydomonadales_X,Chlamydomonadales_X.U.genus,Chlorophyta|Chlamydomonadales_X|Chlamydomonadales_X.U.genus,REF_SPR_JX911252.1.2655_Eukaryota_Archaeplastida_Chloroplastida_Chlorophyta_Chlorophyceae_Chlamydomonadales_Chlamydomonas_Chlamydomonas_sp._KIOST-1; REF_SPR_MH703736.1.2595_Eukaryota_Archaeplastida_Chloroplastida_Chlorophyta_Chlorophyceae_Chlamydomonadales_Chlamydomonas_Chloromonas_sp._Ru-6-8; REF_SPR_MH703738.1.2571_Eukaryota_Archaeplastida_Chloroplastida_Chlorophyta_Chlorophyceae_Chlamydomonadales_Actinochloris_Actinochloris_sphaerica
Sphaeropleales.U.genus,56,214,Chlorophyta,Sphaeropleales.U.family,Sphaeropleales.U.genus,Chlorophyta|Sphaeropleales.U.family|Sphaeropleales.U.genus,REF_SPR_Y17817.1.4661_G_18S_rRNA_nucleus_strain_SAG_49.87_Eukaryota_Archaeplastida_Chlorophyta_Chlorophyceae_Sphaeropleales_Selenastraceae_Monoraphidium_Monoraphidium_terrestre; REF_SPR_HM483519.1.3292_G_18S_rRNA_nucleus_strain_SAG_202-6_Eukaryota_Archaeplastida_Chlorophyta_Chlorophyceae_Sphaeropleales_Sphaeropleales_X_Ankistrodesmus_Ankistrodesmus_nannoselene; REF_SPR_AY846380.1.2583_G_18S_rRNA_nucleus_strain_AS3-5_Eukaryota_Archaeplastida_Chlorophyta_Chlorophyceae_Sphaeropleales_Selenastraceae_Monoraphidium_Monoraphidium_minutum
Chlorophyceae.U.genus,10,62,Chlorophyta,Chlorophyceae.U.family,Chlorophyceae.U.genus,Chlorophyta|Chlorophyceae.U.family|Chlorophyceae.U.genus,IMG_3300017635.a_Ga0187999_100462; REF_SPR_KC486765.1.1580_Eukaryota_Archaeplastida_Chloroplastida_Chlorophyta_Trebouxiophyceae_uncultured_Dunaliella; IMG_3300021193.a_Ga0219039_1078340
Euglenida.U.genus,1526,5350,Discoba,Euglenida.U.family,Euglenida.U.genus,Discoba|Euglenida.U.family|Euglenida.U.genus,IMG_3300025701.a_Ga0209771_1003594; REF_SPR_AF386644.1.4503_U_18S_rRNA_nucleus_strain_SAG_222.80_Eukaryota_Excavata_Discoba_Euglenida_Aphagea_Distigmidae_Distigma_Distigma_sennii; IMG_3300031521.a_Ga0311364_10030619
Heterolobosea.U.genus,896,4751,Discoba,Heterolobosea.U.family,Heterolobosea.U.genus,Discoba|Heterolobosea.U.family|Heterolobosea.U.genus,IMG_3300028415.a_Ga0306867_1002025; IMG_3300025572.a_Ga0207864_1006230; IMG_3300032431.a_Ga0335395_10008884
Kinetoplastea.U.genus,451,1621,Discoba,Kinetoplastea.U.family,Kinetoplastea.U.genus,Discoba|Kinetoplastea.U.family|Kinetoplastea.U.genus,REF_SPR_MF969038.1.2427_Eukaryota_Discoba_Discicristata_Euglenozoa_Kinetoplastea_Metakinetoplastina_Trypanosomatida_Leptomonas_Trypanosomatidae_sp._PNG107f; REF_SPR_JQ658823.1.2403_Eukaryota_Discoba_Discicristata_Euglenozoa_Kinetoplastea_Metakinetoplastina_Trypanosomatida_Leptomonas_Trypanosomatidae_sp._G33; REF_SPR_JQ658821.1.2402_U_18S_rRNA_nucleus_clone_G31_Eukaryota_Excavata_Discoba_Kinetoplastea_Trypanosomatida_Trypanosomatidae_Trypanosomatidae_TRY1_Trypanosomatidae_TRY1_sp.
Petalomonadida.U.genus,422,1103,Discoba,Petalomonadida.U.family,Petalomonadida.U.genus,Discoba|Petalomonadida.U.family|Petalomonadida.U.genus,IMG_3300042203.a_Ga0451581_002949; IMG_3300049218.a_Ga0495317_0075001; IMG_3300007323.a_Ga0099768_1018614
Neobodonida.U.genus,221,929,Discoba,Neobodonida.U.family,Neobodonida.U.genus,Discoba|Neobodonida.U.family|Neobodonida.U.genus,REF_SPR_DQ465511.1.3212_U_18S_rRNA_nucleus_strain_HFCC333_Eukaryota_Excavata_Discoba_Kinetoplastea_Neobodonida_Rhynchomonadidae_Rhynchomonas_Rhynchomonas_sp.; REF_SPR_AY827855.1.2627_Eukaryota_Discoba_Discicristata_Euglenozoa_Kinetoplastea_Metakinetoplastina_Neobodonida_Rhynchomonas_Rhynchomonas_nasuta; IMG_3300045996.a_Ga0456371_00314495
Tetramitia_I.U.genus,200,796,Discoba,Tetramitia_I.U.family,Tetramitia_I.U.genus,Discoba|Tetramitia_I.U.family|Tetramitia_I.U.genus,IMG_3300009676.a_Ga0116187_1008507; IMG_3300002168.a_JGI24712J26585_10005157; IMG_3300005961.a_Ga0075157_10037838
Scytomonadidae.U.genus,148,357,Discoba,Scytomonadidae,Scytomonadidae.U.genus,Discoba|Scytomonadidae|Scytomonadidae.U.genus,IMG_3300007244.a_Ga0075167_10056882; IMG_3300030947.a_Ga0075390_10003426; IMG_3300038619.a_Ga0427940_0031979
Euglenozoa.U.genus,50,204,Discoba,Euglenozoa.U.family,Euglenozoa.U.genus,Discoba|Euglenozoa.U.family|Euglenozoa.U.genus,IMG_3300006236.a_Ga0082396_100060; IMG_3300006232.a_Ga0082392_116254; IMG_3300004627.a_Ga0066629_1019590
Kinetoplastea_XX.U.genus,25,45,Discoba,Kinetoplastea_XX,Kinetoplastea_XX.U.genus,Discoba|Kinetoplastea_XX|Kinetoplastea_XX.U.genus,IMG_3300043429.a_Ga0451752_0023898; IMG_3300043425.a_Ga0451744_0028721; IMG_3300045580.a_Ga0466388_0013856
Discosea_X.U.genus,28,93,Discosea,Discosea_X.U.family,Discosea_X.U.genus,Discosea|Discosea_X.U.family|Discosea_X.U.genus,REF_SPR_AF019064.1.2682_U_18S_rRNA_nucleus_strain_Ray_&_Hayes__ATCC_30137_Eukaryota_Amoebozoa_Lobosa_Lobosa_X_Centramoebida_Acanthamoebidae_Acanthamoeba_Acanthamoeba_astronyxis; REF_SPR_KC822466.1.2639_Eukaryota_Amorphea_Amoebozoa_Discosea_Longamoebia_Centramoebida_Acanthamoeba_Acanthamoeba_sp._CDC_V621; REF_SPR_DQ185605.1.2582_Eukaryota_Amorphea_Amoebozoa_Discosea_Longamoebia_Centramoebida_Acanthamoeba_Acanthamoeba_sp._PJ
Acanthopodida.U.genus,3,3,Discosea,Acanthopodida.U.family,Acanthopodida.U.genus,Discosea|Acanthopodida.U.family|Acanthopodida.U.genus,REF_SPR_FPLS01060146.1.1247_Eukaryota_Amorphea_Amoebozoa_Discosea_Longamoebia_Centramoebida_metagenome; IMG_3300012212.a_Ga0150985_109985960; IMG_3300006423.a_Ga0075039_1014944
Eukaryota.U.genus,9333,39360,Eukaryota.U.division,Eukaryota.U.family,Eukaryota.U.genus,Eukaryota.U.division|Eukaryota.U.family|Eukaryota.U.genus,IMG_3300027741.a_Ga0209085_1003614; IMG_3300042143.a_Ga0451492_002059; IMG_3300028047.a_Ga0209526_10006985
Flamellidae.U.genus,197,567,Evosea,Flamellidae.U.family,Flamellidae.U.genus,Evosea|Flamellidae.U.family|Flamellidae.U.genus,IMG_3300002966.a_JGI24721J44947_10018413; IMG_3300043445.a_Ga0451692_0005490; IMG_3300011120.a_Ga0150983_10430345
Schizoplasmodiidae.U.genus,78,222,Evosea,Schizoplasmodiidae,Schizoplasmodiidae.U.genus,Evosea|Schizoplasmodiidae|Schizoplasmodiidae.U.genus,REF_SPR_FJ544418.1.1920_Eukaryota_Amorphea_Amoebozoa_Schizoplasmodiida_Schizoplasmodium_Schizoplasmodium_cavostelioides; REF_SPR_FJ544420.1.1918_Eukaryota_Amorphea_Amoebozoa_Schizoplasmodiida_Nematostelium_Nematostelium_ovatum; IMG_3300039453.a_Ga0436362_0073447
Archamoebea.U.genus,58,216,Evosea,Archamoebea.U.family,Archamoebea.U.genus,Evosea|Archamoebea.U.family|Archamoebea.U.genus,REF_SPR_JX101953.1.2971_U_18S_rRNA_nucleus_clone_MALEN3_Eukaryota_Amoebozoa_Conosa_Archamoebea_Mastigamoebida_Endolimacidae_Endolimax_Endolimax_sp.; REF_SPR_JX157640.1.2943_U_18S_rRNA_nucleus__Eukaryota_Amoebozoa_Conosa_Archamoebea_Mastigamoebida_Mastigamoebidae_Mastigamoeba_Mastigamoeba_abducta; REF_SPR_JX157632.1.2919_U_18S_rRNA_nucleus__Eukaryota_Amoebozoa_Conosa_Archamoebea_Mastigamoebida_Mastigamoebidae_Mastigamoeba_Mastigamoeba_abducta
Pelobiontida.U.genus,2,3,Evosea,Pelobiontida.U.family,Pelobiontida.U.genus,Evosea|Pelobiontida.U.family|Pelobiontida.U.genus,IMG_3300009584.a_Ga0115597_1100830; IMG_3300038162.a_Ga0401957_004083
Mastigamoebida.U.genus,1,2,Evosea,Mastigamoebida.U.family,Mastigamoebida.U.genus,Evosea|Mastigamoebida.U.family|Mastigamoebida.U.genus,IMG_3300036353.a_Ga0393301_017169
Hexamitidae.U.genus,484,3018,Metamonada,Hexamitidae,Hexamitidae.U.genus,Metamonada|Hexamitidae|Hexamitidae.U.genus,IMG_3300037279.a_Ga0397552_0007522; IMG_3300020715.a_Ga0214254_1001637; REF_SPR_DQ520097.1.2051_U_18S_rRNA_nucleus_specimen_MAFF_305810_Eukaryota_Opisthokonta_Fungi_Basidiomycota_Agaricomycotina_Agaricomycetes_Tulasnella_Tulasnella_violea
Metazoa.U.genus,4480,25091,Opisthokonta,Metazoa.U.family,Metazoa.U.genus,Opisthokonta|Metazoa.U.family|Metazoa.U.genus,IMG_3300046500.a_Ga0495596_0001183; IMG_3300005985.a_Ga0081539_10004659; IMG_3300045963.a_Ga0485833_0001840
Insecta.U.genus,2513,16928,Opisthokonta,Insecta,Insecta.U.genus,Opisthokonta|Insecta|Insecta.U.genus,IMG_3300006045.a_Ga0082212_10006321; IMG_3300036817.a_Ga0376687_0003533; REF_SPR_EU164639.1.3718_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Arthropoda_Hexapoda_Insecta_Corynomalus_Corynomalus_laevigatus
Nematoda.U.genus,1163,5960,Opisthokonta,Nematoda.U.family,Nematoda.U.genus,Opisthokonta|Nematoda.U.family|Nematoda.U.genus,IMG_3300030399.a_Ga0311353_10009522; IMG_3300041431.a_Ga0439243_0007564; IMG_3300035088.a_Ga0373940_0000162
Fungi.U.genus,1112,2638,Opisthokonta,Fungi.U.family,Fungi.U.genus,Opisthokonta|Fungi.U.family|Fungi.U.genus,IMG_3300043422.a_Ga0451741_0000762; IMG_3300037418.a_Ga0395900_0007985; IMG_3300022743.a_Ga0228699_1002103
Pezizomycotina.U.genus,987,5074,Opisthokonta,Pezizomycotina.U.family,Pezizomycotina.U.genus,Opisthokonta|Pezizomycotina.U.family|Pezizomycotina.U.genus,IMG_3300025241.a_Ga0207893_1000802; IMG_3300034137.a_Ga0334943_000835; IMG_3300031569.a_Ga0307489_10005156
Platyhelminthes.U.genus,851,2920,Opisthokonta,Platyhelminthes.U.family,Platyhelminthes.U.genus,Opisthokonta|Platyhelminthes.U.family|Platyhelminthes.U.genus,IMG_3300047169.a_Ga0495336_0006418; REF_SPR_EU541306.1.3736_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Monogenea_Monopisthocotylea_Ancyrocephalidae_Haliotrema_cromileptis; REF_SPR_JQ609340.1.2891_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Cestoda_Eucestoda_Cyclophyllidea_Hydatigera_taeniaeformis
Opisthokonta.U.genus,687,3638,Opisthokonta,Opisthokonta.U.family,Opisthokonta.U.genus,Opisthokonta|Opisthokonta.U.family|Opisthokonta.U.genus,IMG_3300024981.a_Ga0209934_1002558; IMG_3300028375.a_Ga0306865_1001041_1; REF_SPR_HQ191350.1.2633_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Choanoflagellata_Filasterea_Ministeriida_Capsasporidae_AT4-11_uncultured_Chytridiomycota
Agaricomycetes.U.genus,665,4615,Opisthokonta,Agaricomycetes,Agaricomycetes.U.genus,Opisthokonta|Agaricomycetes|Agaricomycetes.U.genus,IMG_3300044819.a_Ga0480562_0001829; IMG_3300025949.a_Ga0207667_10011890; IMG_3300034130.a_Ga0370494_000462
Dothideomycetes.U.genus,539,2447,Opisthokonta,Dothideomycetes,Dothideomycetes.U.genus,Opisthokonta|Dothideomycetes|Dothideomycetes.U.genus,IMG_3300036786.a_Ga0376659_0007084; IMG_3300043384.a_Ga0454644_0000459; REF_SPR_LT558703.1.3546_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Pezizomycotina_Eurotiomycetes_Chaetothyriales_Trichomeriaceae_Bacillicladium_Bacillicladium_lobatum
Chytridiomycota.U.genus,530,1528,Opisthokonta,Chytridiomycota.U.family,Chytridiomycota.U.genus,Opisthokonta|Chytridiomycota.U.family|Chytridiomycota.U.genus,IMG_3300031628.a_Ga0308014_1002904; REF_SPR_EF432819.1.3579_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Chytridiomycota_Incertae_Sedis_Chytridiomycetes_Lobulomycetales_Lobulomycetaceae_uncultured_Lobulomycetales_sp._AF011; IMG_3300031656.a_Ga0308005_10003084
Sordariomycetes.U.genus,469,2392,Opisthokonta,Sordariomycetes,Sordariomycetes.U.genus,Opisthokonta|Sordariomycetes|Sordariomycetes.U.genus,REF_SPR_LT604109.1.3894_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Pezizomycotina_Sordariomycetes_Incertae_Sedis_Incertae_Sedis_Xylomelasma_Xylomelasma_sp._EMSL_2471; REF_SPR_AB278174.1.3604_G_18S_rRNA_nucleus_strain_CBS_246.91_Eukaryota_Opisthokonta_Fungi_Ascomycota_Pezizomycotina_Sordariomycetes_Togninia_Togninia_minima; REF_SPR_JN941751.1.3446_U_18S_rRNA_nucleus_strain_NBRC_101408_Eukaryota_Opisthokonta_Fungi_Ascomycota_Pezizomycotina_Sordariomycetes_Cordyceps_Cordyceps_nipponica
Crustacea.U.genus,436,2433,Opisthokonta,Crustacea.U.family,Crustacea.U.genus,Opisthokonta|Crustacea.U.family|Crustacea.U.genus,IMG_3300005826.a_Ga0074477_1496964; REF_SPR_LT960405.1.1906_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Siphonostomatoida_Macrostylis_sp._ML08; IMG_3300040793.a_Ga0450797_132125
