Taxon,Coverage_Factor,Novelty_Ratio,Census_OTU_Count,NCBI_Species_Count,Phylum,Dataset,Source_File,Factor_Type,Domain,rRNA,Taxonomic_Level,Division
Acidobacteriota,0.04,24.66,9124,370,Acidobacteriota,16s_bacteria_phylum,16s_bacteria_phylum_top_novelty.csv,Novelty,Bacteria,16S,Phylum/Division,
Gemmatimonadota,0.05,19.97,2576,129,Gemmatimonadota,16s_bacteria_phylum,16s_bacteria_phylum_top_novelty.csv,Novelty,Bacteria,16S,Phylum/Division,
Chloroflexota,0.05,18.45,13210,716,Chloroflexota,16s_bacteria_phylum,16s_bacteria_phylum_top_novelty.csv,Novelty,Bacteria,16S,Phylum/Division,
Verrucomicrobiota,0.06,16.85,10214,606,Verrucomicrobiota,16s_bacteria_phylum,16s_bacteria_phylum_top_novelty.csv,Novelty,Bacteria,16S,Phylum/Division,
Armatimonadota,0.07,15.34,1473,96,Armatimonadota,16s_bacteria_phylum,16s_bacteria_phylum_top_novelty.csv,Novelty,Bacteria,16S,Phylum/Division,
Myxococcota,0.07,14.31,3648,255,Myxococcota,16s_bacteria_phylum,16s_bacteria_phylum_top_novelty.csv,Novelty,Bacteria,16S,Phylum/Division,
Gloeomargaritaceae,28.0,0.04,1,28,Cyanobacteriota,16s_bacteria_family,16s_bacteria_family_top_coverage.csv,Coverage,Bacteria,16S,Family,
Bartonellaceae,18.53,0.05,15,278,Pseudomonadota,16s_bacteria_family,16s_bacteria_family_top_coverage.csv,Coverage,Bacteria,16S,Family,
Chlorobiaceae,18.0,0.06,2,36,Chlorobiota,16s_bacteria_family,16s_bacteria_family_top_coverage.csv,Coverage,Bacteria,16S,Family,
Thermosynechococcaceae,10.2,0.1,5,51,Cyanobacteriota,16s_bacteria_family,16s_bacteria_family_top_coverage.csv,Coverage,Bacteria,16S,Family,
Simkaniaceae,9.0,0.11,1,9,Chlamydiota,16s_bacteria_family,16s_bacteria_family_top_coverage.csv,Coverage,Bacteria,16S,Family,
Ancalomicrobiaceae,8.0,0.12,1,8,Pseudomonadota,16s_bacteria_family,16s_bacteria_family_top_coverage.csv,Coverage,Bacteria,16S,Family,
Metamycoplasmataceae,7.36,0.14,11,81,Mycoplasmatota,16s_bacteria_family,16s_bacteria_family_top_coverage.csv,Coverage,Bacteria,16S,Family,
Sirenicapillariaceae,7.0,0.14,5,35,Cyanobacteriota,16s_bacteria_family,16s_bacteria_family_top_coverage.csv,Coverage,Bacteria,16S,Family,
Chlamydiaceae,6.4,0.16,5,32,Chlamydiota,16s_bacteria_family,16s_bacteria_family_top_coverage.csv,Coverage,Bacteria,16S,Family,
Prochlorococcaceae,6.35,0.16,139,883,Cyanobacteriota,16s_bacteria_family,16s_bacteria_family_top_coverage.csv,Coverage,Bacteria,16S,Family,
Thermoanaerobaculaceae,0.01,177.0,708,4,Acidobacteriota,16s_bacteria_family,16s_bacteria_family_top_novelty.csv,Novelty,Bacteria,16S,Family,
Thioalkalispiraceae,0.01,156.0,156,1,Pseudomonadota,16s_bacteria_family,16s_bacteria_family_top_novelty.csv,Novelty,Bacteria,16S,Family,
Blastocatellaceae,0.01,143.33,430,3,Acidobacteriota,16s_bacteria_family,16s_bacteria_family_top_novelty.csv,Novelty,Bacteria,16S,Family,
Kofleriaceae,0.01,124.83,749,6,Myxococcota,16s_bacteria_family,16s_bacteria_family_top_novelty.csv,Novelty,Bacteria,16S,Family,
Pyrinomonadaceae,0.01,109.83,659,6,Acidobacteriota,16s_bacteria_family,16s_bacteria_family_top_novelty.csv,Novelty,Bacteria,16S,Family,
Microscillaceae,0.01,102.83,617,6,Bacteroidota,16s_bacteria_family,16s_bacteria_family_top_novelty.csv,Novelty,Bacteria,16S,Family,
Longimicrobiaceae,0.01,100.33,301,3,Gemmatimonadota,16s_bacteria_family,16s_bacteria_family_top_novelty.csv,Novelty,Bacteria,16S,Family,
Chthoniobacteraceae,0.01,98.88,791,8,Verrucomicrobiota,16s_bacteria_family,16s_bacteria_family_top_novelty.csv,Novelty,Bacteria,16S,Family,
Vicinamibacteraceae,0.01,91.5,549,6,Acidobacteriota,16s_bacteria_family,16s_bacteria_family_top_novelty.csv,Novelty,Bacteria,16S,Family,
Oligoflexaceae,0.01,74.75,299,4,Bdellovibrionota,16s_bacteria_family,16s_bacteria_family_top_novelty.csv,Novelty,Bacteria,16S,Family,
Gardnerella,59.0,0.02,1,59,Actinomycetota,16s_bacteria_genus,16s_bacteria_genus_top_coverage.csv,Coverage,Bacteria,16S,Genus,
Micavibrio,42.0,0.02,1,42,Bdellovibrionota,16s_bacteria_genus,16s_bacteria_genus_top_coverage.csv,Coverage,Bacteria,16S,Genus,
Mycolicibacterium,41.0,0.02,4,164,Actinomycetota,16s_bacteria_genus,16s_bacteria_genus_top_coverage.csv,Coverage,Bacteria,16S,Genus,
Phocaeicola,39.0,0.03,1,39,Bacteroidota,16s_bacteria_genus,16s_bacteria_genus_top_coverage.csv,Coverage,Bacteria,16S,Genus,
Kaistella,28.0,0.04,1,28,Bacteroidota,16s_bacteria_genus,16s_bacteria_genus_top_coverage.csv,Coverage,Bacteria,16S,Genus,
Qipengyuania,26.5,0.04,2,53,Pseudomonadota,16s_bacteria_genus,16s_bacteria_genus_top_coverage.csv,Coverage,Bacteria,16S,Genus,
Gloeomargarita,26.0,0.04,1,26,Cyanobacteriota,16s_bacteria_genus,16s_bacteria_genus_top_coverage.csv,Coverage,Bacteria,16S,Genus,
Thermosynechococcus,22.5,0.04,2,45,Cyanobacteriota,16s_bacteria_genus,16s_bacteria_genus_top_coverage.csv,Coverage,Bacteria,16S,Genus,
Christensenella,21.25,0.05,4,85,Bacillota,16s_bacteria_genus,16s_bacteria_genus_top_coverage.csv,Coverage,Bacteria,16S,Genus,
Roseateles,21.25,0.05,4,85,Pseudomonadota,16s_bacteria_genus,16s_bacteria_genus_top_coverage.csv,Coverage,Bacteria,16S,Genus,
Desulfofarcimen,0.0,249.0,249,1,Bacillota,16s_bacteria_genus,16s_bacteria_genus_top_novelty.csv,Novelty,Bacteria,16S,Genus,
Pajaroellobacter,0.01,195.0,195,1,Myxococcota,16s_bacteria_genus,16s_bacteria_genus_top_novelty.csv,Novelty,Bacteria,16S,Genus,
Haliangium,0.01,187.0,748,4,Myxococcota,16s_bacteria_genus,16s_bacteria_genus_top_novelty.csv,Novelty,Bacteria,16S,Genus,
Aquicella,0.01,130.5,261,2,Pseudomonadota,16s_bacteria_genus,16s_bacteria_genus_top_novelty.csv,Novelty,Bacteria,16S,Genus,
Bryobacter,0.01,130.0,520,4,Acidobacteriota,16s_bacteria_genus,16s_bacteria_genus_top_novelty.csv,Novelty,Bacteria,16S,Genus,
Desulfatiglans,0.01,123.67,371,3,Thermodesulfobacteriota,16s_bacteria_genus,16s_bacteria_genus_top_novelty.csv,Novelty,Bacteria,16S,Genus,
Monoglobus,0.01,115.0,345,3,Bacillota,16s_bacteria_genus,16s_bacteria_genus_top_novelty.csv,Novelty,Bacteria,16S,Genus,
Pirellula,0.01,104.5,418,4,Planctomycetota,16s_bacteria_genus,16s_bacteria_genus_top_novelty.csv,Novelty,Bacteria,16S,Genus,
Salinibacter,0.01,92.43,647,7,Rhodothermota,16s_bacteria_genus,16s_bacteria_genus_top_novelty.csv,Novelty,Bacteria,16S,Genus,
Blastopirellula,0.01,89.86,629,7,Planctomycetota,16s_bacteria_genus,16s_bacteria_genus_top_novelty.csv,Novelty,Bacteria,16S,Genus,
Euryarchaeota,0.49,2.05,3600,1758,Euryarchaeota,16s_archaea_phylum,16s_archaea_phylum_top_coverage.csv,Coverage,Archaea,16S,Phylum/Division,
Thermoproteota,0.44,2.28,569,250,Thermoproteota,16s_archaea_phylum,16s_archaea_phylum_top_coverage.csv,Coverage,Archaea,16S,Phylum/Division,
Nitrososphaerota,0.17,5.79,1458,252,Nitrososphaerota,16s_archaea_phylum,16s_archaea_phylum_top_coverage.csv,Coverage,Archaea,16S,Phylum/Division,
Nanoarchaeota,0.01,117.7,3178,27,Nanoarchaeota,16s_archaea_phylum,16s_archaea_phylum_top_coverage.csv,Coverage,Archaea,16S,Phylum/Division,
Thermoplasmatota,,0.0,0,484,Thermoplasmatota,16s_archaea_phylum,16s_archaea_phylum_top_coverage.csv,Coverage,Archaea,16S,Phylum/Division,
Promethearchaeota,,0.0,0,11,Promethearchaeota,16s_archaea_phylum,16s_archaea_phylum_top_coverage.csv,Coverage,Archaea,16S,Phylum/Division,
Halobacteriota,,0.0,0,1,Halobacteriota,16s_archaea_phylum,16s_archaea_phylum_top_coverage.csv,Coverage,Archaea,16S,Phylum/Division,
Nanoarchaeota,0.01,117.7,3178,27,Nanoarchaeota,16s_archaea_phylum,16s_archaea_phylum_top_novelty.csv,Novelty,Archaea,16S,Phylum/Division,
Nitrososphaerota,0.17,5.79,1458,252,Nitrososphaerota,16s_archaea_phylum,16s_archaea_phylum_top_novelty.csv,Novelty,Archaea,16S,Phylum/Division,
Thermoproteota,0.44,2.28,569,250,Thermoproteota,16s_archaea_phylum,16s_archaea_phylum_top_novelty.csv,Novelty,Archaea,16S,Phylum/Division,
Euryarchaeota,0.49,2.05,3600,1758,Euryarchaeota,16s_archaea_phylum,16s_archaea_phylum_top_novelty.csv,Novelty,Archaea,16S,Phylum/Division,
Thermoplasmatota,,0.0,0,484,Thermoplasmatota,16s_archaea_phylum,16s_archaea_phylum_top_novelty.csv,Novelty,Archaea,16S,Phylum/Division,
Promethearchaeota,,0.0,0,11,Promethearchaeota,16s_archaea_phylum,16s_archaea_phylum_top_novelty.csv,Novelty,Archaea,16S,Phylum/Division,
Halobacteriota,,0.0,0,1,Halobacteriota,16s_archaea_phylum,16s_archaea_phylum_top_novelty.csv,Novelty,Archaea,16S,Phylum/Division,
Picrophilaceae,2.0,0.5,1,2,Thermoplasmatota,16s_archaea_family,16s_archaea_family_top_coverage.csv,Coverage,Archaea,16S,Family,
Thermococcaceae,1.65,0.61,48,79,Euryarchaeota,16s_archaea_family,16s_archaea_family_top_coverage.csv,Coverage,Archaea,16S,Family,
Methanomassiliicoccaceae,1.6,0.63,52,83,Thermoplasmatota,16s_archaea_family,16s_archaea_family_top_coverage.csv,Coverage,Archaea,16S,Family,
Haloferacaceae,1.24,0.81,220,273,Euryarchaeota,16s_archaea_family,16s_archaea_family_top_coverage.csv,Coverage,Archaea,16S,Family,
Natrialbaceae,1.11,0.9,131,145,Euryarchaeota,16s_archaea_family,16s_archaea_family_top_coverage.csv,Coverage,Archaea,16S,Family,
Halorubraceae,1.04,0.96,263,273,Euryarchaeota,16s_archaea_family,16s_archaea_family_top_coverage.csv,Coverage,Archaea,16S,Family,
Methanopyraceae,1.0,1.0,3,3,Euryarchaeota,16s_archaea_family,16s_archaea_family_top_coverage.csv,Coverage,Archaea,16S,Family,
Methanocorpusculaceae,0.92,1.09,25,23,Euryarchaeota,16s_archaea_family,16s_archaea_family_top_coverage.csv,Coverage,Archaea,16S,Family,
Acidilobaceae,0.86,1.17,21,18,Thermoproteota,16s_archaea_family,16s_archaea_family_top_coverage.csv,Coverage,Archaea,16S,Family,
Natronoarchaeaceae,0.79,1.26,24,19,Euryarchaeota,16s_archaea_family,16s_archaea_family_top_coverage.csv,Coverage,Archaea,16S,Family,
Nitrosopumilaceae,0.1,10.37,529,51,Nitrososphaerota,16s_archaea_family,16s_archaea_family_top_novelty.csv,Novelty,Archaea,16S,Family,
Nitrososphaeraceae,0.1,9.75,273,28,Nitrososphaerota,16s_archaea_family,16s_archaea_family_top_novelty.csv,Novelty,Archaea,16S,Family,
Fervidicoccaceae,0.11,9.0,27,3,Thermoproteota,16s_archaea_family,16s_archaea_family_top_novelty.csv,Novelty,Archaea,16S,Family,
Nanoarchaeaceae,0.12,8.5,17,2,Nanobdellota,16s_archaea_family,16s_archaea_family_top_novelty.csv,Novelty,Archaea,16S,Family,
Methanotrichaceae,0.15,6.83,246,36,Euryarchaeota,16s_archaea_family,16s_archaea_family_top_novelty.csv,Novelty,Archaea,16S,Family,
Methanospirillaceae,0.16,6.44,58,9,Euryarchaeota,16s_archaea_family,16s_archaea_family_top_novelty.csv,Novelty,Archaea,16S,Family,
Thermoplasmataceae,0.16,6.17,37,6,Thermoplasmatota,16s_archaea_family,16s_archaea_family_top_novelty.csv,Novelty,Archaea,16S,Family,
Methanocellaceae,0.18,5.45,60,11,Euryarchaeota,16s_archaea_family,16s_archaea_family_top_novelty.csv,Novelty,Archaea,16S,Family,
Desulfurococcaceae,0.23,4.39,145,33,Thermoproteota,16s_archaea_family,16s_archaea_family_top_novelty.csv,Novelty,Archaea,16S,Family,
Methanocaldococcaceae,0.23,4.33,52,12,Euryarchaeota,16s_archaea_family,16s_archaea_family_top_novelty.csv,Novelty,Archaea,16S,Family,
Rhodophyta,23.5,0.04,2,47,,18s_eukaryote_division,18s_eukaryote_division_top_coverage.csv,Coverage,Eukaryota,18S,Phylum/Division,Rhodophyta
Streptophyta,1.04,0.96,2252,2349,,18s_eukaryote_division,18s_eukaryote_division_top_coverage.csv,Coverage,Eukaryota,18S,Phylum/Division,Streptophyta
Opisthokonta,0.71,1.4,24345,17372,,18s_eukaryote_division,18s_eukaryote_division_top_coverage.csv,Coverage,Eukaryota,18S,Phylum/Division,Opisthokonta
Chlorophyta,0.15,6.75,1505,223,,18s_eukaryote_division,18s_eukaryote_division_top_coverage.csv,Coverage,Eukaryota,18S,Phylum/Division,Chlorophyta
Stramenopiles,0.09,11.12,3668,330,,18s_eukaryote_division,18s_eukaryote_division_top_coverage.csv,Coverage,Eukaryota,18S,Phylum/Division,Stramenopiles
Discosea,0.07,15.35,399,26,,18s_eukaryote_division,18s_eukaryote_division_top_coverage.csv,Coverage,Eukaryota,18S,Phylum/Division,Discosea
Metamonada,0.04,26.05,573,22,,18s_eukaryote_division,18s_eukaryote_division_top_coverage.csv,Coverage,Eukaryota,18S,Phylum/Division,Metamonada
Discoba,0.02,45.42,5496,121,,18s_eukaryote_division,18s_eukaryote_division_top_coverage.csv,Coverage,Eukaryota,18S,Phylum/Division,Discoba
Alveolata,0.02,51.67,9042,175,,18s_eukaryote_division,18s_eukaryote_division_top_coverage.csv,Coverage,Eukaryota,18S,Phylum/Division,Alveolata
Evosea,0.01,78.42,2431,31,,18s_eukaryote_division,18s_eukaryote_division_top_coverage.csv,Coverage,Eukaryota,18S,Phylum/Division,Evosea
Tubulinea,0.0,1323.0,1323,1,,18s_eukaryote_division,18s_eukaryote_division_top_novelty.csv,Novelty,Eukaryota,18S,Phylum/Division,Tubulinea
Rhizaria,0.0,341.73,5126,15,,18s_eukaryote_division,18s_eukaryote_division_top_novelty.csv,Novelty,Eukaryota,18S,Phylum/Division,Rhizaria
Evosea,0.01,78.42,2431,31,,18s_eukaryote_division,18s_eukaryote_division_top_novelty.csv,Novelty,Eukaryota,18S,Phylum/Division,Evosea
Alveolata,0.02,51.67,9042,175,,18s_eukaryote_division,18s_eukaryote_division_top_novelty.csv,Novelty,Eukaryota,18S,Phylum/Division,Alveolata
Discoba,0.02,45.42,5496,121,,18s_eukaryote_division,18s_eukaryote_division_top_novelty.csv,Novelty,Eukaryota,18S,Phylum/Division,Discoba
Metamonada,0.04,26.05,573,22,,18s_eukaryote_division,18s_eukaryote_division_top_novelty.csv,Novelty,Eukaryota,18S,Phylum/Division,Metamonada
Discosea,0.07,15.35,399,26,,18s_eukaryote_division,18s_eukaryote_division_top_novelty.csv,Novelty,Eukaryota,18S,Phylum/Division,Discosea
Stramenopiles,0.09,11.12,3668,330,,18s_eukaryote_division,18s_eukaryote_division_top_novelty.csv,Novelty,Eukaryota,18S,Phylum/Division,Stramenopiles
Chlorophyta,0.15,6.75,1505,223,,18s_eukaryote_division,18s_eukaryote_division_top_novelty.csv,Novelty,Eukaryota,18S,Phylum/Division,Chlorophyta
Opisthokonta,0.71,1.4,24345,17372,,18s_eukaryote_division,18s_eukaryote_division_top_novelty.csv,Novelty,Eukaryota,18S,Phylum/Division,Opisthokonta
Lepidosauria,74.0,0.01,4,296,,18s_eukaryote_family,18s_eukaryote_family_top_coverage.csv,Coverage,Eukaryota,18S,Family,Opisthokonta
Amphibia,38.8,0.03,5,194,,18s_eukaryote_family,18s_eukaryote_family_top_coverage.csv,Coverage,Eukaryota,18S,Family,Opisthokonta
Teleostei,27.37,0.04,65,1779,,18s_eukaryote_family,18s_eukaryote_family_top_coverage.csv,Coverage,Eukaryota,18S,Family,Alveolata
Kickxellales,12.75,0.08,12,153,,18s_eukaryote_family,18s_eukaryote_family_top_coverage.csv,Coverage,Eukaryota,18S,Family,Opisthokonta
Lipomycetaceae,11.67,0.09,3,35,,18s_eukaryote_family,18s_eukaryote_family_top_coverage.csv,Coverage,Eukaryota,18S,Family,Opisthokonta
Selenastraceae,5.0,0.2,1,5,,18s_eukaryote_family,18s_eukaryote_family_top_coverage.csv,Coverage,Eukaryota,18S,Family,Other
Schizosaccharomycetes,4.0,0.25,2,8,,18s_eukaryote_family,18s_eukaryote_family_top_coverage.csv,Coverage,Eukaryota,18S,Family,Other
Mammalia,3.88,0.26,257,996,,18s_eukaryote_family,18s_eukaryote_family_top_coverage.csv,Coverage,Eukaryota,18S,Family,Opisthokonta
Scyphozoa,1.85,0.54,13,24,,18s_eukaryote_family,18s_eukaryote_family_top_coverage.csv,Coverage,Eukaryota,18S,Family,Other
Saprolegniales,1.8,0.56,5,9,,18s_eukaryote_family,18s_eukaryote_family_top_coverage.csv,Coverage,Eukaryota,18S,Family,Other
Mastigamoebidae,0.0,1609.0,1609,1,,18s_eukaryote_family,18s_eukaryote_family_top_novelty.csv,Novelty,Eukaryota,18S,Family,Evosea
Euglenaceae,0.0,470.0,470,1,,18s_eukaryote_family,18s_eukaryote_family_top_novelty.csv,Novelty,Eukaryota,18S,Family,Discoba
Neovahlkampfiidae,0.0,211.0,211,1,,18s_eukaryote_family,18s_eukaryote_family_top_novelty.csv,Novelty,Eukaryota,18S,Family,Discoba
Oxytrichidae,0.01,160.0,800,5,,18s_eukaryote_family,18s_eukaryote_family_top_novelty.csv,Novelty,Eukaryota,18S,Family,Alveolata
Hexamitidae,0.01,143.25,573,4,,18s_eukaryote_family,18s_eukaryote_family_top_novelty.csv,Novelty,Eukaryota,18S,Family,Metamonada
Gregarinidae,0.01,130.0,130,1,,18s_eukaryote_family,18s_eukaryote_family_top_novelty.csv,Novelty,Eukaryota,18S,Family,Opisthokonta
Labyrinthulaceae,0.02,62.0,62,1,,18s_eukaryote_family,18s_eukaryote_family_top_novelty.csv,Novelty,Eukaryota,18S,Family,Stramenopiles
Vannellidae,0.02,56.0,56,1,,18s_eukaryote_family,18s_eukaryote_family_top_novelty.csv,Novelty,Eukaryota,18S,Family,Stramenopiles
Paramoebidae,0.02,54.0,54,1,,18s_eukaryote_family,18s_eukaryote_family_top_novelty.csv,Novelty,Eukaryota,18S,Family,Discosea
Rhabdomonadales,0.04,26.0,26,1,,18s_eukaryote_family,18s_eukaryote_family_top_novelty.csv,Novelty,Eukaryota,18S,Family,Other
Oryza,23.0,0.04,1,23,,18s_eukaryote_genus,18s_eukaryote_genus_top_coverage.csv,Coverage,Eukaryota,18S,Genus,Nibbleridia
Debaryomyces,14.0,0.07,1,14,,18s_eukaryote_genus,18s_eukaryote_genus_top_coverage.csv,Coverage,Eukaryota,18S,Genus,Rhizaria
Coemansia,12.17,0.08,12,146,,18s_eukaryote_genus,18s_eukaryote_genus_top_coverage.csv,Coverage,Eukaryota,18S,Genus,Opisthokonta
Colletotrichum,10.4,0.1,10,104,,18s_eukaryote_genus,18s_eukaryote_genus_top_coverage.csv,Coverage,Eukaryota,18S,Genus,Opisthokonta
Skeletonema,8.0,0.12,1,8,,18s_eukaryote_genus,18s_eukaryote_genus_top_coverage.csv,Coverage,Eukaryota,18S,Genus,Opisthokonta
Cladophialophora,8.0,0.12,1,8,,18s_eukaryote_genus,18s_eukaryote_genus_top_coverage.csv,Coverage,Eukaryota,18S,Genus,Rhizaria
Lipomyces,6.33,0.16,3,19,,18s_eukaryote_genus,18s_eukaryote_genus_top_coverage.csv,Coverage,Eukaryota,18S,Genus,Opisthokonta
Aspergillus,5.48,0.18,48,263,,18s_eukaryote_genus,18s_eukaryote_genus_top_coverage.csv,Coverage,Eukaryota,18S,Genus,Opisthokonta
Cryptococcus,5.0,0.2,5,25,,18s_eukaryote_genus,18s_eukaryote_genus_top_coverage.csv,Coverage,Eukaryota,18S,Genus,Tubulinea
Schizosaccharomyces,4.0,0.25,2,8,,18s_eukaryote_genus,18s_eukaryote_genus_top_coverage.csv,Coverage,Eukaryota,18S,Genus,Other
Mastigamoeba,0.0,1609.0,1609,1,,18s_eukaryote_genus,18s_eukaryote_genus_top_novelty.csv,Novelty,Eukaryota,18S,Genus,Evosea
Stylonychia,0.0,800.0,800,1,,18s_eukaryote_genus,18s_eukaryote_genus_top_novelty.csv,Novelty,Eukaryota,18S,Genus,Alveolata
Neovahlkampfia,0.0,211.0,211,1,,18s_eukaryote_genus,18s_eukaryote_genus_top_novelty.csv,Novelty,Eukaryota,18S,Genus,Opisthokonta
Zea,0.01,186.0,372,2,,18s_eukaryote_genus,18s_eukaryote_genus_top_novelty.csv,Novelty,Eukaryota,18S,Genus,Streptophyta
Rehmannia,0.01,160.0,160,1,,18s_eukaryote_genus,18s_eukaryote_genus_top_novelty.csv,Novelty,Eukaryota,18S,Genus,Discoba
Ustanciosporium,0.01,69.0,69,1,,18s_eukaryote_genus,18s_eukaryote_genus_top_novelty.csv,Novelty,Eukaryota,18S,Genus,Other
Labyrinthula,0.02,62.0,62,1,,18s_eukaryote_genus,18s_eukaryote_genus_top_novelty.csv,Novelty,Eukaryota,18S,Genus,Discoba
Phaeosphaeria,0.02,57.33,172,3,,18s_eukaryote_genus,18s_eukaryote_genus_top_novelty.csv,Novelty,Eukaryota,18S,Genus,Opisthokonta
Vannella,0.02,56.0,56,1,,18s_eukaryote_genus,18s_eukaryote_genus_top_novelty.csv,Novelty,Eukaryota,18S,Genus,Opisthokonta
Pycnora,0.02,46.0,46,1,,18s_eukaryote_genus,18s_eukaryote_genus_top_novelty.csv,Novelty,Eukaryota,18S,Genus,Opisthokonta
Rhodophyta,23.5,0.04,2,47,,18s_eukaryote_phylum,18s_eukaryote_phylum_top_coverage.csv,Coverage,Eukaryota,18S,Phylum/Division,Other
Streptophyta,1.04,0.96,2252,2349,,18s_eukaryote_phylum,18s_eukaryote_phylum_top_coverage.csv,Coverage,Eukaryota,18S,Phylum/Division,Other
Opisthokonta,0.71,1.4,24345,17372,,18s_eukaryote_phylum,18s_eukaryote_phylum_top_coverage.csv,Coverage,Eukaryota,18S,Phylum/Division,Other
Chlorophyta,0.15,6.75,1505,223,,18s_eukaryote_phylum,18s_eukaryote_phylum_top_coverage.csv,Coverage,Eukaryota,18S,Phylum/Division,Other
Stramenopiles,0.09,11.12,3668,330,,18s_eukaryote_phylum,18s_eukaryote_phylum_top_coverage.csv,Coverage,Eukaryota,18S,Phylum/Division,Other
Discosea,0.07,15.35,399,26,,18s_eukaryote_phylum,18s_eukaryote_phylum_top_coverage.csv,Coverage,Eukaryota,18S,Phylum/Division,Other
Metamonada,0.04,26.05,573,22,,18s_eukaryote_phylum,18s_eukaryote_phylum_top_coverage.csv,Coverage,Eukaryota,18S,Phylum/Division,Other
Discoba,0.02,45.42,5496,121,,18s_eukaryote_phylum,18s_eukaryote_phylum_top_coverage.csv,Coverage,Eukaryota,18S,Phylum/Division,Other
Alveolata,0.02,51.67,9042,175,,18s_eukaryote_phylum,18s_eukaryote_phylum_top_coverage.csv,Coverage,Eukaryota,18S,Phylum/Division,Other
Evosea,0.01,78.42,2431,31,,18s_eukaryote_phylum,18s_eukaryote_phylum_top_coverage.csv,Coverage,Eukaryota,18S,Phylum/Division,Other
Tubulinea,0.0,1323.0,1323,1,,18s_eukaryote_phylum,18s_eukaryote_phylum_top_novelty.csv,Novelty,Eukaryota,18S,Phylum/Division,Other
Rhizaria,0.0,341.73,5126,15,,18s_eukaryote_phylum,18s_eukaryote_phylum_top_novelty.csv,Novelty,Eukaryota,18S,Phylum/Division,Other
Evosea,0.01,78.42,2431,31,,18s_eukaryote_phylum,18s_eukaryote_phylum_top_novelty.csv,Novelty,Eukaryota,18S,Phylum/Division,Other
Alveolata,0.02,51.67,9042,175,,18s_eukaryote_phylum,18s_eukaryote_phylum_top_novelty.csv,Novelty,Eukaryota,18S,Phylum/Division,Other
Discoba,0.02,45.42,5496,121,,18s_eukaryote_phylum,18s_eukaryote_phylum_top_novelty.csv,Novelty,Eukaryota,18S,Phylum/Division,Other
Metamonada,0.04,26.05,573,22,,18s_eukaryote_phylum,18s_eukaryote_phylum_top_novelty.csv,Novelty,Eukaryota,18S,Phylum/Division,Other
Discosea,0.07,15.35,399,26,,18s_eukaryote_phylum,18s_eukaryote_phylum_top_novelty.csv,Novelty,Eukaryota,18S,Phylum/Division,Other
Stramenopiles,0.09,11.12,3668,330,,18s_eukaryote_phylum,18s_eukaryote_phylum_top_novelty.csv,Novelty,Eukaryota,18S,Phylum/Division,Other
Chlorophyta,0.15,6.75,1505,223,,18s_eukaryote_phylum,18s_eukaryote_phylum_top_novelty.csv,Novelty,Eukaryota,18S,Phylum/Division,Other
