MEGA VISUAL SOURCE DATA EXPORT
Generated: 2025-08-18 15:19:55
================================================================================
This file contains all source data used in the mega stacked visualizations
organized by domain (16S: Bacteria/Archaea, 18S: Eukaryotes) and factors.
================================================================================


16S rRNA DATA (BACTERIA & ARCHAEA)
================================================================================


BACTERIA DATA
--------------------------------------------------


ARCHAEA DATA
--------------------------------------------------



18S rRNA DATA (EUKARYOTES)
================================================================================

Eukaryote Divisions - HIGH NOVELTY (>1.0x)
==========================================
Total entries: 16

Hemimastigophora               | Census:     20 | NCBI:      0 | Nov:    infx | Cov:   0.00x
Euphausiidae                   | Census:      0 | NCBI:      1 | Nov:   0.00x | Cov:    infx
Phyllidiidae                   | Census:      0 | NCBI:      1 | Nov:   0.00x | Cov:    infx
Eupteleaceae                   | Census:      0 | NCBI:      1 | Nov:   0.00x | Cov:    infx
Glyceridae                     | Census:      0 | NCBI:      1 | Nov:   0.00x | Cov:    infx
Gnathostomatidae               | Census:      0 | NCBI:      1 | Nov:   0.00x | Cov:    infx
Gnetaceae                      | Census:      0 | NCBI:      1 | Nov:   0.00x | Cov:    infx
Platysternidae                 | Census:      0 | NCBI:      1 | Nov:   0.00x | Cov:    infx
Platydesmidae                  | Census:      0 | NCBI:      1 | Nov:   0.00x | Cov:    infx
Geosiphonaceae                 | Census:      0 | NCBI:      1 | Nov:   0.00x | Cov:    infx
Geomitridae                    | Census:      0 | NCBI:      1 | Nov:   0.00x | Cov:    infx
Geminibasidiaceae              | Census:      0 | NCBI:      1 | Nov:   0.00x | Cov:    infx
Porolithaceae                  | Census:      0 | NCBI:      1 | Nov:   0.00x | Cov:    infx
Choristocarpaceae              | Census:      0 | NCBI:      1 | Nov:   0.00x | Cov:    infx
Chromadoridae                  | Census:      0 | NCBI:      1 | Nov:   0.00x | Cov:    infx
Oreohelicidae                  | Census:      0 | NCBI:      1 | Nov:   0.00x | Cov:    infx
Rhodymeniaceae                 | Census:      0 | NCBI:      1 | Nov:   0.00x | Cov:    infx
Priapulidae                    | Census:      0 | NCBI:      1 | Nov:   0.00x | Cov:    infx
Phyllophoridae                 | Census:      0 | NCBI:      1 | Nov:   0.00x | Cov:    infx
Prasiolaceae                   | Census:      0 | NCBI:      1 | Nov:   0.00x | Cov:    infx
Anatidae                       | Census:      0 | NCBI:     79 | Nov:   0.00x | Cov:    infx
Corvidae                       | Census:      0 | NCBI:     20 | Nov:   0.00x | Cov:    infx
Cucurbitaceae                  | Census:      0 | NCBI:     74 | Nov:   0.00x | Cov:    infx
Asteraceae                     | Census:      0 | NCBI:    100 | Nov:   0.00x | Cov:    infx
Accipitridae                   | Census:      0 | NCBI:    145 | Nov:   0.00x | Cov:    infx
Pythiaceae                     | Census:      0 | NCBI:    116 | Nov:   0.00x | Cov:    infx
Sporidiobolaceae               | Census:      0 | NCBI:     31 | Nov:   0.00x | Cov:    infx
Psittacidae                    | Census:      0 | NCBI:    181 | Nov:   0.00x | Cov:    infx
Trichomonascaceae              | Census:      0 | NCBI:    146 | Nov:   0.00x | Cov:    infx
Rhabditidae                    | Census:      0 | NCBI:     81 | Nov:   0.00x | Cov:    infx
Vitaceae                       | Census:      0 | NCBI:     40 | Nov:   0.00x | Cov:    infx
Solanaceae                     | Census:      0 | NCBI:     91 | Nov:   0.00x | Cov:    infx
Rosaceae                       | Census:      0 | NCBI:    114 | Nov:   0.00x | Cov:    infx
Fabaceae                       | Census:      0 | NCBI:    152 | Nov:   0.00x | Cov:    infx
Chenopodiaceae                 | Census:      0 | NCBI:     28 | Nov:   0.00x | Cov:    infx
Brassicaceae                   | Census:      0 | NCBI:    108 | Nov:   0.00x | Cov:    infx
Saccharomycodaceae             | Census:      0 | NCBI:     23 | Nov:   0.00x | Cov:    infx
Lamiaceae                      | Census:      0 | NCBI:     47 | Nov:   0.00x | Cov:    infx
Myrtaceae                      | Census:      0 | NCBI:     62 | Nov:   0.00x | Cov:    infx
Wickerhamomycetaceae           | Census:      0 | NCBI:     45 | Nov:   0.00x | Cov:    infx
Entrophosporaceae              | Census:      0 | NCBI:      2 | Nov:   0.00x | Cov:    infx
Saccharomycopsidaceae          | Census:      0 | NCBI:     28 | Nov:   0.00x | Cov:    infx
Euphorbiaceae                  | Census:      0 | NCBI:     46 | Nov:   0.00x | Cov:    infx
Fringillidae                   | Census:      0 | NCBI:     46 | Nov:   0.00x | Cov:    infx
Phasianidae                    | Census:      0 | NCBI:     30 | Nov:   0.00x | Cov:    infx
Blastocystidae                 | Census:      0 | NCBI:     15 | Nov:   0.00x | Cov:    infx
Mortierellaceae                | Census:      0 | NCBI:     53 | Nov:   0.00x | Cov:    infx
Phaffomycetaceae               | Census:      0 | NCBI:     68 | Nov:   0.00x | Cov:    infx
Rhizopodaceae                  | Census:      0 | NCBI:      7 | Nov:   0.00x | Cov:    infx

... and 1320 more entries



SUMMARY STATISTICS
================================================================================
16S rRNA (Bacteria + Archaea):
  Total taxa: 0
  Meaningful taxa (>1.0x factor): 0

18S rRNA (Eukaryotes):
  Total taxa: 1604
  Meaningful taxa (>1.0x factor): 1604

GRAND TOTAL:
  All taxa: 1604
  All meaningful: 1604


NOTES:
- Novelty Ratio: Census OTU Count / NCBI Species Count
- Coverage Factor: NCBI Species Count / Census OTU Count
- Values >1.0x indicate higher representation in that database
- Data sorted by factor value (highest first)
- Limited to top 50 entries per category for readability
