Opisthokonta|Leotiomycetes|Leotiomycetes.U.genus,Opisthokonta,Leotiomycetes,Leotiomycetes.U.genus,230,1747,7.6,IMG_3300023101.a_Ga0224557_1003928; IMG_3300038479.a_Ga0436674_0007308_1; IMG_3300035172.a_Ga0373955_0006713
Chlorophyta|Chlamydomonadales_X|Chlamydomonadales_X.U.genus,Chlorophyta,Chlamydomonadales_X,Chlamydomonadales_X.U.genus,191,1360,7.12,REF_SPR_JX911252.1.2655_Eukaryota_Archaeplastida_Chloroplastida_Chlorophyta_Chlorophyceae_Chlamydomonadales_Chlamydomonas_Chlamydomonas_sp._KIOST-1; REF_SPR_MH703736.1.2595_Eukaryota_Archaeplastida_Chloroplastida_Chlorophyta_Chlorophyceae_Chlamydomonadales_Chlamydomonas_Chloromonas_sp._Ru-6-8; REF_SPR_MH703738.1.2571_Eukaryota_Archaeplastida_Chloroplastida_Chlorophyta_Chlorophyceae_Chlamydomonadales_Actinochloris_Actinochloris_sphaerica
Opisthokonta|Saccharomycetales|Saccharomycetales.U.genus,Opisthokonta,Saccharomycetales,Saccharomycetales.U.genus,190,1145,6.03,REF_SPR_AY845351.1.2337_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Saccharomycotina_Saccharomycetes_Saccharomycetales_Debaryomycetaceae_Scheffersomyces_Candida_lignicola; REF_SPR_JQ038035.1.2289_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Saccharomycotina_Saccharomycetes_Saccharomycetales_Incertae_Sedis_Kuraishia_Kuraishia_borneana; REF_SPR_AB514601.1.2205_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Saccharomycotina_Saccharomycetes_Saccharomycetales_Metschnikowiaceae_Metschnikowia_uncultured_fungus
Opisthokonta|Maxillopoda|Maxillopoda.U.genus,Opisthokonta,Maxillopoda,Maxillopoda.U.genus,155,2107,13.59,IMG_3300023179.a_Ga0214923_10015406; REF_SPR_AB625967.1.2136_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Metridia_asymmetrica; REF_SPR_AB625960.1.2064_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Gaetanus_variabilis
Discoba|Scytomonadidae|Scytomonadidae.U.genus,Discoba,Scytomonadidae,Scytomonadidae.U.genus,148,357,2.41,IMG_3300007244.a_Ga0075167_10056882; IMG_3300030947.a_Ga0075390_10003426; IMG_3300038619.a_Ga0427940_0031979
Opisthokonta|Mammalia|Mammalia.U.genus,Opisthokonta,Mammalia,Mammalia.U.genus,122,564,4.62,REF_SPR_BC025983.1.2414_U_18S_rRNA_nucleus_clone_IMAGE_4025331_Eukaryota_Opisthokonta_Metazoa_Craniata_Craniata_X_Mammalia_Homo_Homo_sapiens; REF_SPR_GECJ01038665.1.1942_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Nematozoa_Nematoda_Enoplea_Dorylaimia_Trichocephalida_Trichinella_pseudospiralis; REF_SPR_GECJ01013363.1.1920_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Nematozoa_Nematoda_Enoplea_Dorylaimia_Trichocephalida_Trichinella_pseudospiralis
Opisthokonta|Lecanoromycetes|Lecanoromycetes.U.genus,Opisthokonta,Lecanoromycetes,Lecanoromycetes.U.genus,116,343,2.96,REF_SPR_AJ549810.1.3091_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Pezizomycotina_Leotiomycetes_Helotiales_Tornabea_Tornabea_scutellifera; REF_SPR_KJ766684.1.2890_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Fungi_Ascomycota_Pezizomycotina_Lecanoromycetes_Alectoria_Alectoria_ochroleuca; REF_SPR_AY640991.1.2533_G_18S_rRNA_nucleus_specimen_Reeb_VR_8-VII-98_19__DUKE__Eukaryota_Opisthokonta_Fungi_Ascomycota_Pezizomycotina_Lecanoromycetes_Glypholecia_Glypholecia_scabra
Opisthokonta|Rotifera_XX|Rotifera_XX.U.genus,Opisthokonta,Rotifera_XX,Rotifera_XX.U.genus,113,1652,14.62,IMG_3300006112.a_Ga0007857_1009312; IMG_3300006116.a_Ga0007807_1005623; REF_SPR_AF499747.1.1820_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Bryozoa_Gymnolaemata_Cheilostomatida_Parasmittina_sp._HYL-2002
Opisthokonta|Branchiopoda|Branchiopoda.U.genus,Opisthokonta,Branchiopoda,Branchiopoda.U.genus,100,673,6.73,REF_SPR_GDIP01028159.8255.10682_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_Branchiopoda_Phyllopoda_Diplostraca_Daphnia_magna; IMG_3300037346.a_Ga0400280_002143; IMG_3300003818.a_Ga0007841_100047
Evosea|Schizoplasmodiidae|Schizoplasmodiidae.U.genus,Evosea,Schizoplasmodiidae,Schizoplasmodiidae.U.genus,78,222,2.85,REF_SPR_FJ544418.1.1920_Eukaryota_Amorphea_Amoebozoa_Schizoplasmodiida_Schizoplasmodium_Schizoplasmodium_cavostelioides; REF_SPR_FJ544420.1.1918_Eukaryota_Amorphea_Amoebozoa_Schizoplasmodiida_Nematostelium_Nematostelium_ovatum; IMG_3300039453.a_Ga0436362_0073447
Opisthokonta|Arachnida|Arachnida.U.genus,Opisthokonta,Arachnida,Arachnida.U.genus,65,128,1.97,REF_SPR_KJ841943.1.2371_U_18S_rRNA_nucleus_specimen_NJAUEriGUA_Eukaryota_Opisthokonta_Metazoa_Arthropoda_Chelicerata_Arachnida_Epitrimerus_Epitrimerus_sabinae; IMG_3300009697.a_Ga0116231_10033396; REF_SPR_KJ841941.1.2328_U_18S_rRNA_nucleus_specimen_NJAUEriHN13_Eukaryota_Opisthokonta_Metazoa_Arthropoda_Chelicerata_Arachnida_Asetacus_Asetacus_cunninghamiae
Rigifilida|Rigifilida_XXXX|Rigifilida_XXXX.U.genus,Rigifilida,Rigifilida_XXXX,Rigifilida_XXXX.U.genus,54,201,3.72,IMG_3300043427.a_Ga0451747_0047005; REF_SPR_JQ684704.1.1766_U_18S_rRNA_nucleus_specimen_ENCB_19524_Eukaryota_Archaeplastida_Rhodophyta_Bangiophyceae_Bangiales_Bangiaceae_Pyropia_Pyropia_raulaguilarii; REF_SPR_AY268038.1.1731_Eukaryota_Amorphea_Amoebozoa_Incertae_Sedis_Rigifilida_Micronuclearia_Micronuclearia_podoventralis
Tubulinea|Phryganellina|Phryganellina.U.genus,Tubulinea,Phryganellina,Phryganellina.U.genus,54,135,2.5,IMG_3300048591.a_Ga0498929_0015681; IMG_3300001471.a_JGI12712J15308_10000261; IMG_3300005563.a_Ga0068855_100159896
Opisthokonta|Tremellomycetes|Tremellomycetes.U.genus,Opisthokonta,Tremellomycetes,Tremellomycetes.U.genus,52,151,2.9,IMG_3300007505.a_Ga0105005_1040510; REF_SPR_D31651.1.1866_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Basidiomycota_Agaricomycotina_Tremellomycetes_Tremellales_Sugitazyma_Sugitazyma_miyagiana; IMG_3300046380.a_Ga0494111_0006115
Tubulinea|Hartmannellidae|Hartmannellidae.U.genus,Tubulinea,Hartmannellidae,Hartmannellidae.U.genus,46,118,2.57,IMG_3300009551.a_Ga0105238_10012023; IMG_3300004785.a_Ga0058858_1015577; IMG_3300003725.a_Ga0008087_101138
Alveolata|Plasmodiidae|Plasmodiidae.U.genus,Alveolata,Plasmodiidae,Plasmodiidae.U.genus,45,167,3.71,REF_SPR_LT594509.104975.107533_Eukaryota_SAR_Alveolata_Apicomplexa_Aconoidasida_Haemosporoidia_Plasmodium_Plasmodium_ovale__malaria_parasite_P._ovale_; REF_SPR_JPSE01002297.82.2364_Eukaryota_SAR_Alveolata_Apicomplexa_Aconoidasida_Haemosporoidia_Plasmodium_Plasmodium_falciparum_365.1; REF_SPR_JPSE01006221.63.2271_Eukaryota_SAR_Alveolata_Apicomplexa_Aconoidasida_Haemosporoidia_Plasmodium_Plasmodium_falciparum_365.1
Opisthokonta|Annelida_XX|Annelida_XX.U.genus,Opisthokonta,Annelida_XX,Annelida_XX.U.genus,40,202,5.05,IMG_3300036938.a_Ga0392316_0001698; IMG_3300036924.a_Ga0392304_001150; REF_SPR_HM042111.1.1997_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Annelida_Annelida_X_Annelida_XX_Novafabricia_Novafabricia_labrus
Alveolata|Sessilida|Sessilida.U.genus,Alveolata,Sessilida,Sessilida.U.genus,35,109,3.11,IMG_3300036763.a_Ga0376079_0005437; REF_SPR_AB902108.1.1738_Eukaryota_SAR_Alveolata_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea_Peritrichia_Telotrochidium_uncultured_eukaryote; REF_SPR_AB902071.1.1733_Eukaryota_SAR_Alveolata_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea_Peritrichia_Zoothamnium_uncultured_eukaryote
Alveolata|Actinocephalidae|Actinocephalidae.U.genus,Alveolata,Actinocephalidae,Actinocephalidae.U.genus,34,87,2.56,REF_SPR_KT717659.1.2361_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Gregarinasina_Eugregarinorida_Nematopsis_Nematopsis_temporariae; REF_SPR_KT717642.1.2358_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Gregarinasina_Eugregarinorida_Nematopsis_Nematopsis_temporariae; REF_SPR_AF129883.1.1811_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Gregarinasina_Neogregarinorida_Ophryocystis_Ophryocystis_elektroscirrha
Alveolata|Gregarinidae|Gregarinidae.U.genus,Alveolata,Gregarinidae,Gregarinidae.U.genus,27,187,6.93,IMG_3300001411.a_JGI20182J14882_100048; IMG_3300028452.a_Ga0307247_10005452; IMG_3300012674.a_Ga0153962_1001837
Discoba|Kinetoplastea_XX|Kinetoplastea_XX.U.genus,Discoba,Kinetoplastea_XX,Kinetoplastea_XX.U.genus,25,45,1.8,IMG_3300043429.a_Ga0451752_0023898; IMG_3300043425.a_Ga0451744_0028721; IMG_3300045580.a_Ga0466388_0013856
Alveolata|Babesiidae|Babesiidae.U.genus,Alveolata,Babesiidae,Babesiidae.U.genus,20,90,4.5,REF_SPR_DQ329138.1.1734_Eukaryota_SAR_Alveolata_Apicomplexa_Aconoidasida_Piroplasmorida_Babesia_Babesia_sp._FP44; REF_SPR_DQ159075.1.1682_Eukaryota_SAR_Alveolata_Apicomplexa_Aconoidasida_Piroplasmorida_Babesia_Babesia_sp._Liaoning-2005; REF_SPR_AF158711.1.1671_U_18S_rRNA_nucleus__Eukaryota_Alveolata_Apicomplexa_Coccidiomorphea_Piroplasmorida_Babesiidae_Babesia10_Babesia10_sp.
Alveolata|Cryptosporidiidae|Cryptosporidiidae.U.genus,Alveolata,Cryptosporidiidae,Cryptosporidiidae.U.genus,6,8,1.33,REF_SPR_AJ697751.1.1753_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Cryptosporida_Cryptosporidium_Cryptosporidium_struthionis; REF_SPR_AF372786.1.1518_Eukaryota_SAR_Alveolata_Apicomplexa_Conoidasida_Cryptosporida_Cryptosporidium_uncultured_alveolate; REF_BRK_c-7813_conseq_Otu0523_42_soil_PuertoRico_Eukaryota_TSAR_Alveolata_Alveolata_X_Colpodellidea_Colpodellida_Colpodellaceae_Colpodellidae2_Colpodellidae2_sp_Species
Opisthokonta|Zoopagomycota_XX|Zoopagomycota_XX.U.genus,Opisthokonta,Zoopagomycota_XX,Zoopagomycota_XX.U.genus,6,25,4.17,IMG_3300013307.a_Ga0157372_10033020; IMG_3300009551.a_Ga0105238_10007979_1; IMG_3300025914.a_Ga0207671_10033577
Opisthokonta|Neocallimastigaceae|Neocallimastigaceae.U.genus,Opisthokonta,Neocallimastigaceae,Neocallimastigaceae.U.genus,6,69,11.5,IMG_3300005850.a_Ga0079999_13814; IMG_3300020079.a_Ga0187906_1006476; REF_SPR_FN820273.1.1763_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Mucoromycota_Glomeromycotina_Glomeromycetes_Archaeosporales_Ambisporaceae_Ambispora_Ambispora_granatensis
Stramenopiles|Peronosporales|Peronosporales.U.genus,Stramenopiles,Peronosporales,Peronosporales.U.genus,4,45,11.25,IMG_3300049629.a_Ga0504420_0005178; REF_SPR_FLLY01000077.696.2480_Eukaryota_SAR_Alveolata_uncultured_seawater_metagenome; REF_SPR_JX840890.1.1235_Eukaryota_SAR_Stramenopiles_MAST-3_MAST-3B_uncultured_stramenopile
Opisthokonta|Blastocladiomycetes|Blastocladiomycetes.U.genus,Opisthokonta,Blastocladiomycetes,Blastocladiomycetes.U.genus,3,4,1.33,IMG_3300006378.a_Ga0075498_1069715; IMG_3300006355.a_Ga0075501_1074060; IMG_3300007304.a_Ga0102689_1064118
Rhizaria|Cercomonadidae|Cercomonadidae.U.genus,Rhizaria,Cercomonadidae,Cercomonadidae.U.genus,2,3,1.5,REF_SPR_AY180023.1.1743_Eukaryota_SAR_Rhizaria_Cercozoa_Novel_Clade_10_uncultured_Cercozoa; REF_SPR_EU701011.1.2120_UC_18S_rRNA_nucleus__Eukaryota_Rhizaria_Cercozoa_Endomyxa-Phytomyxea_Plasmodiophorida_Plasmodiophoridae_Plasmodiophora_Plasmodiophora_brassicae
