genus,gtdb_domain,ncbi_domain,database_presence,match_status,gtdb_genome_count,gtdb_species_count,ncbi_genome_count,ncbi_species_count,reason_filtered,sample_accessions
SAR86A,Bacteria,,GTDB_Only,No_Match,91,1,0,0,No verifiable NCBI taxonomy classification,"GCA_902626385.1, GCA_902632555.1, GCA_002721385.1, GCA_902563165.1, GCA_902558165.1"
DMER64,Bacteria,,GTDB_Only,No_Match,90,1,0,0,No verifiable NCBI taxonomy classification,"GCA_023443405.1, GCA_026931125.1, GCA_028701015.1, GCA_028692065.1, GCA_022839405.1"
HGM04593,Bacteria,,GTDB_Only,No_Match,88,1,0,0,No verifiable NCBI taxonomy classification,"GCA_017522525.1, GCA_017396295.1, GCA_017936265.1, GCA_937914945.1, GCA_937901275.1"
UBA3766,Bacteria,,GTDB_Only,No_Match,88,1,0,0,No verifiable NCBI taxonomy classification,"GCA_947307195.1, GCA_900100245.1, GCA_947167975.1, GCA_017962225.1, GCA_017518735.1"
CAG-238,Bacteria,,GTDB_Only,No_Match,88,1,0,0,No verifiable NCBI taxonomy classification,"GCA_002439735.1, GCA_945966195.1, GCA_023438925.1, GCA_934277405.1, GCA_027682225.1"
RGIG8607,Bacteria,,GTDB_Only,No_Match,88,1,0,0,No verifiable NCBI taxonomy classification,"GCA_949115685.1, GCA_947063415.1, GCA_949461865.1, GCA_947385035.1, GCA_949388775.1"
UBA5456,Bacteria,,GTDB_Only,No_Match,87,1,0,0,No verifiable NCBI taxonomy classification,"GCA_028700675.1, GCA_028686535.1, GCA_020532125.1, GCA_002345525.1, GCA_020532355.1"
UBA3789,Bacteria,,GTDB_Only,No_Match,86,1,0,0,No verifiable NCBI taxonomy classification,"GCA_947652375.1, GCA_947389825.1, GCA_902798815.1, GCA_947169875.1, GCA_900771515.1"
UA16,Bacteria,,GTDB_Only,No_Match,86,1,0,0,No verifiable NCBI taxonomy classification,"GCA_002390405.1, GCA_943842155.1, GCA_003491685.1, GCA_937898595.1, GCA_002323795.1"
M3007,Bacteria,,GTDB_Only,No_Match,86,1,0,0,No verifiable NCBI taxonomy classification,"GCA_023151335.1, GCA_937934275.1, GCA_903937575.1, GCA_026129545.1, GCA_022844265.1"
C7867-002,Bacteria,,GTDB_Only,No_Match,85,1,0,0,No verifiable NCBI taxonomy classification,"GCA_028713005.1, GCA_903883465.1, GCA_903823535.1, GCA_903853505.1, GCA_903902315.1"
UBA10103,Bacteria,,GTDB_Only,No_Match,83,1,0,0,No verifiable NCBI taxonomy classification,"GCA_016867375.1, GCA_001781685.1, GCA_903845825.1, GCA_943354425.1, GCA_016217965.1"
D2472,Bacteria,,GTDB_Only,No_Match,83,1,0,0,No verifiable NCBI taxonomy classification,"GCA_002346805.1, GCA_028344535.1, GCA_902627055.1, GCA_902511355.1, GCA_902510005.1"
MGBC118957,Bacteria,,GTDB_Only,No_Match,83,1,0,0,No verifiable NCBI taxonomy classification,"GCA_948675585.1, GCA_948987635.1, GCA_949045395.1, GCA_948628385.1, GCA_948768565.1"
C-19,Bacteria,,GTDB_Only,No_Match,82,1,0,0,No verifiable NCBI taxonomy classification,"GCA_947170925.1, GCA_947652025.1, GCA_947385085.1, GCA_009917405.1, GCA_947648585.1"
MGBC100174,Bacteria,,GTDB_Only,No_Match,82,1,0,0,No verifiable NCBI taxonomy classification,"GCA_949345995.1, GCA_947089385.1, GCA_948565735.1, GCA_948491405.1, GCA_910576895.1"
CAZU01,Bacteria,,GTDB_Only,No_Match,82,1,0,0,No verifiable NCBI taxonomy classification,"GCA_949542085.1, GCA_944393725.1, GCA_015062425.1, GCA_949295085.1, GCA_944392275.1"
RGIG3002,Bacteria,,GTDB_Only,No_Match,80,1,0,0,No verifiable NCBI taxonomy classification,"GCA_948773365.1, GCA_948749555.1, GCA_949480535.1, GCA_948725395.1, GCA_949043085.1"
TMED112,Bacteria,,GTDB_Only,No_Match,79,1,0,0,No verifiable NCBI taxonomy classification,"GCA_902562295.1, GCA_902620825.1, GCA_902614875.1, GCA_902621995.1, GCA_902614295.1"
Opi-474,Bacteria,,GTDB_Only,No_Match,79,1,0,0,No verifiable NCBI taxonomy classification,"GCA_903859095.1, GCA_903932015.1, GCA_003402695.1, GCA_903823935.1, GCA_903853165.1"
UBA6382,Bacteria,,GTDB_Only,No_Match,78,1,0,0,No verifiable NCBI taxonomy classification,"GCA_945939605.1, GCA_002406175.1, GCA_017509925.1, GCA_934339845.1, GCA_900316315.1"
NK4A144,Bacteria,,GTDB_Only,No_Match,78,1,0,0,No verifiable NCBI taxonomy classification,"GCA_946186555.1, GCA_024693135.1, GCA_900114405.1, GCA_947166195.1, GCA_946533525.1"
MGBC108787,Bacteria,,GTDB_Only,No_Match,78,1,0,0,No verifiable NCBI taxonomy classification,"GCA_948690905.1, GCA_949039225.1, GCA_947058285.1, GCA_947630615.1, GCA_948775135.1"
UBA9926,Bacteria,,GTDB_Only,No_Match,77,1,0,0,No verifiable NCBI taxonomy classification,"GCA_938084125.1, GCA_943787835.1, GCA_028036625.1, GCA_937776625.1, GCA_949372755.1"
NK4A136,Bacteria,,GTDB_Only,No_Match,76,1,0,0,No verifiable NCBI taxonomy classification,"GCA_002393955.1, GCA_946625635.1, GCA_947170445.1, GCA_946185155.1, GCA_024697745.1"
AG-422-B15,Bacteria,,GTDB_Only,No_Match,75,1,0,0,No verifiable NCBI taxonomy classification,"GCA_902617845.1, GCA_902570675.1, GCA_902564025.1, GCA_902520455.1, GCA_014653725.1"
Palsa-1447,Bacteria,,GTDB_Only,No_Match,73,1,0,0,No verifiable NCBI taxonomy classification,"GCA_903932395.1, GCA_903876035.1, GCA_903883335.1, GCA_003167995.1, GCA_903922035.1"
GWA1-54-10,Bacteria,,GTDB_Only,No_Match,72,1,0,0,No verifiable NCBI taxonomy classification,"GCA_903849825.1, GCA_903820465.1, GCA_001775485.1, GCA_903824155.1, GCA_943348815.1"
SW10,Bacteria,,GTDB_Only,No_Match,71,1,0,0,No verifiable NCBI taxonomy classification,"GCA_018675675.1, GCA_002364575.1, GCA_029254885.1, GCA_030427325.1, GCA_913060685.1"
JAMCPL01,Bacteria,,GTDB_Only,No_Match,70,1,0,0,No verifiable NCBI taxonomy classification,"GCA_027390715.1, GCA_027387315.1, GCA_027387555.1, GCA_021846725.1, GCA_023379725.1"
UBA6055,Bacteria,,GTDB_Only,No_Match,70,1,0,0,No verifiable NCBI taxonomy classification,"GCA_028874235.1, GCA_009838095.1, GCA_022823165.1, GCA_026705065.1, GCA_026705115.1"
UBA1217,Bacteria,,GTDB_Only,No_Match,69,1,0,0,No verifiable NCBI taxonomy classification,"GCA_902792275.1, GCA_946183315.1, GCA_902765635.1, GCA_017429685.1, GCA_946540515.1"
MGIIb-O5,Archaea,,GTDB_Only,No_Match,69,1,0,0,No verifiable NCBI taxonomy classification,"GCA_002704585.1, GCA_937921435.1, GCA_002504435.1, GCA_003673035.1, GCA_003672895.1"
UBA2834,Bacteria,,GTDB_Only,No_Match,68,1,0,0,No verifiable NCBI taxonomy classification,"GCA_945834035.1, GCA_947072815.1, GCA_031290255.1, GCA_020626475.1, GCA_946408075.1"
CAIRDP01,Bacteria,,GTDB_Only,No_Match,68,1,0,0,No verifiable NCBI taxonomy classification,"GCA_903832975.1, GCA_026391335.1, GCA_903844485.1, GCA_903834345.1, GCA_903841195.1"
Palsa-465,Bacteria,,GTDB_Only,No_Match,67,1,0,0,No verifiable NCBI taxonomy classification,"GCA_003244035.1, GCA_019242325.1, GCA_021810705.1, GCA_027392715.1, GCA_019243755.1"
Fen-455,Bacteria,,GTDB_Only,No_Match,66,1,0,0,No verifiable NCBI taxonomy classification,"GCA_003163035.1, GCA_003142115.1, GCA_003162315.1, GCA_003169175.1, GCA_003139075.1"
UBA9959,Bacteria,,GTDB_Only,No_Match,65,1,0,0,No verifiable NCBI taxonomy classification,"GCA_028713125.1, GCA_021847485.1, GCA_903827915.1, GCA_027340875.1, GCA_027327645.1"
JABEUN01,Bacteria,,GTDB_Only,No_Match,65,1,0,0,No verifiable NCBI taxonomy classification,"GCA_013044415.1, GCA_027414135.1, GCA_027414455.1, GCA_027414235.1, GCA_027409755.1"
JAMDCX01,Bacteria,,GTDB_Only,No_Match,64,1,0,0,No verifiable NCBI taxonomy classification,"GCA_027428675.1, GCA_027323105.1, GCA_027436335.1, GCA_027428935.1, GCA_027428715.1"
AC2028,Bacteria,,GTDB_Only,No_Match,64,1,0,0,No verifiable NCBI taxonomy classification,"GCA_902761225.1, GCA_902790935.1, GCA_024684215.1, GCA_024682075.1, GCA_902786415.1"
UMGS1668,Bacteria,,GTDB_Only,No_Match,64,1,0,0,No verifiable NCBI taxonomy classification,"GCA_948467305.1, GCA_958419015.1, GCA_018110905.1, GCA_945919865.1, GCA_017410045.1"
Bact-08,Bacteria,,GTDB_Only,No_Match,63,1,0,0,No verifiable NCBI taxonomy classification,"GCA_002842465.1, GCA_030657385.1, GCA_003520725.1, GCA_028684535.1, GCA_028705655.1"
Nanoperiomorbus,Bacteria,,GTDB_Only,No_Match,63,1,0,0,No verifiable NCBI taxonomy classification,"GCA_938028655.1, GCA_946890795.1, GCA_938045335.1, GCA_946890675.1, GCA_937990685.1"
UBA1847,Bacteria,,GTDB_Only,No_Match,62,1,0,0,No verifiable NCBI taxonomy classification,"GCA_945787245.1, GCA_021773055.1, GCA_029859225.1, GCA_937944275.1, GCA_022573655.1"
JAJYEA01,Archaea,,GTDB_Only,No_Match,62,1,0,0,No verifiable NCBI taxonomy classification,"GCA_027376215.1, GCA_021823345.1, GCA_027387095.1, GCA_027376305.1, GCA_021845025.1"
UBA8316,Bacteria,,GTDB_Only,No_Match,61,1,0,0,No verifiable NCBI taxonomy classification,"GCA_017857625.1, GCA_029247955.1, GCA_943788685.1, GCA_902584445.1, GCA_002390455.1"
ASP10-02a,Bacteria,,GTDB_Only,No_Match,61,1,0,0,No verifiable NCBI taxonomy classification,"GCA_938082865.1, GCA_943845835.1, GCA_000981725.1, GCA_943788965.1, GCA_018656145.1"
MGBC136627,Bacteria,,GTDB_Only,No_Match,61,1,0,0,No verifiable NCBI taxonomy classification,"GCA_948654075.1, GCA_948838115.1, GCA_948467725.1, GCA_947297135.1, GCA_947101335.1"
WGA-3G,Bacteria,,GTDB_Only,No_Match,61,1,0,0,No verifiable NCBI taxonomy classification,"GCA_022824625.1, GCA_022394775.1, GCA_022827885.1, GCA_021295715.1, GCA_003635195.1"
Bog-756,Bacteria,,GTDB_Only,No_Match,60,1,0,0,No verifiable NCBI taxonomy classification,"GCA_903849265.1, GCA_003138855.1, GCA_003166235.1, GCA_903845575.1, GCA_027365055.1"
UBA8515,Bacteria,,GTDB_Only,No_Match,60,1,0,0,No verifiable NCBI taxonomy classification,"GCA_027428255.1, GCA_903891365.1, GCA_000990965.1, GCA_001786355.1, GCA_016649835.1"
UBA3818,Bacteria,,GTDB_Only,No_Match,60,1,0,0,No verifiable NCBI taxonomy classification,"GCA_949535835.1, GCA_945917175.1, GCA_934418095.1, GCA_946500215.1, GCA_910583935.1"
UMGS1491,Bacteria,,GTDB_Only,No_Match,60,1,0,0,No verifiable NCBI taxonomy classification,"GCA_937984195.1, GCA_900757335.1, GCA_030526145.1, GCA_934699355.1, GCA_934700635.1"
AG-414-E02,Bacteria,,GTDB_Only,No_Match,59,1,0,0,No verifiable NCBI taxonomy classification,"GCA_950071225.1, GCA_950061115.1, GCA_902568465.1, GCA_902589795.1, GCA_950101885.1"
RUG572,Bacteria,,GTDB_Only,No_Match,59,1,0,0,No verifiable NCBI taxonomy classification,"GCA_946626475.1, GCA_945828355.1, GCA_948471325.1, GCA_902793025.1, GCA_021639565.1"
JAKASW01,Bacteria,,GTDB_Only,No_Match,58,1,0,0,No verifiable NCBI taxonomy classification,"GCA_027372225.1, GCA_027400795.1, GCA_021839665.1, GCA_027401055.1, GCA_023474965.1"
GCF-000787395,Bacteria,,GTDB_Only,No_Match,57,1,0,0,No verifiable NCBI taxonomy classification,"GCF_002020995.1, GCF_002020475.1, GCF_002020515.1, GCF_002021155.1, GCF_002020965.1"
Bin94,Bacteria,,GTDB_Only,No_Match,57,1,0,0,No verifiable NCBI taxonomy classification,"GCA_009835625.1, GCA_009836825.1, GCA_022819785.1, GCA_022823985.1, GCA_022826565.1"
MGIIa-L2,Archaea,,GTDB_Only,No_Match,57,1,0,0,No verifiable NCBI taxonomy classification,"GCA_002496635.1, GCA_003672335.1, GCA_016777125.1, GCA_002706065.1, GCA_013331165.1"
JABMPR01,Bacteria,,GTDB_Only,No_Match,57,1,0,0,No verifiable NCBI taxonomy classification,"GCA_021734275.1, GCA_018656905.1, GCA_018700435.1, GCA_018662545.1, GCA_018669375.1"
Bog-38,Archaea,,GTDB_Only,No_Match,56,1,0,0,No verifiable NCBI taxonomy classification,"GCA_003162195.1, GCA_002509385.1, GCA_003163595.1, GCA_003169565.1, GCA_003132625.1"
GCA-2722105,Bacteria,,GTDB_Only,No_Match,56,1,0,0,No verifiable NCBI taxonomy classification,"GCA_018674095.1, GCA_018663065.1, GCA_018693395.1, GCA_950068325.1, GCA_018661055.1"
GCA-2707915,Bacteria,,GTDB_Only,No_Match,56,1,0,0,No verifiable NCBI taxonomy classification,"GCA_913052295.1, GCA_902592425.1, GCA_938091405.1, GCA_902582615.1, GCA_023703595.1"
RUG626,Bacteria,,GTDB_Only,No_Match,56,1,0,0,No verifiable NCBI taxonomy classification,"GCA_947629755.1, GCA_947625815.1, GCA_947632155.1, GCA_947632175.1, GCA_902771625.1"
JAJZBZ01,Bacteria,,GTDB_Only,No_Match,55,1,0,0,No verifiable NCBI taxonomy classification,"GCA_027384195.1, GCA_027384335.1, GCA_027320985.1, GCA_027384735.1, GCA_027384775.1"
D16-63,Bacteria,,GTDB_Only,No_Match,55,1,0,0,No verifiable NCBI taxonomy classification,"GCA_948854285.1, GCA_948929215.1, GCA_947367265.1, GCA_947565215.1, GCA_948491005.1"
CG-Epi1,Archaea,,GTDB_Only,No_Match,54,1,0,0,No verifiable NCBI taxonomy classification,"GCA_022449905.1, GCA_022449785.1, GCA_002718915.1, GCA_950066085.1, GCA_029977605.1"
Bact-19,Bacteria,,GTDB_Only,No_Match,54,1,0,0,No verifiable NCBI taxonomy classification,"GCA_029570695.1, GCA_012523815.1, GCA_937982115.1, GCA_902762455.1, GCA_902790405.1"
UBA1829,Bacteria,,GTDB_Only,No_Match,54,1,0,0,No verifiable NCBI taxonomy classification,"GCA_946494365.1, GCA_937944685.1, GCA_944391125.1, GCA_944390735.1, GCA_934662435.1"
RUG563,Bacteria,,GTDB_Only,No_Match,54,1,0,0,No verifiable NCBI taxonomy classification,"GCA_017410305.1, GCA_947169275.1, GCA_902465565.1, GCA_902801765.1, GCA_905234985.1"
JAJZOM01,Archaea,,GTDB_Only,No_Match,53,1,0,0,No verifiable NCBI taxonomy classification,"GCA_023489435.1, GCA_027332165.1, GCA_023487765.1, GCA_027381325.1, GCA_027381115.1"
MGIIa-K1,Archaea,,GTDB_Only,No_Match,53,1,0,0,No verifiable NCBI taxonomy classification,"GCA_018659815.1, GCA_002706615.1, GCA_018645435.1, GCA_002709705.1, GCA_002710015.1"
UBA10677,Bacteria,,GTDB_Only,No_Match,52,1,0,0,No verifiable NCBI taxonomy classification,"GCA_934230525.1, GCA_900762735.1, GCA_017623435.1, GCA_937926965.1, GCA_938049185.1"
UBA9659,Bacteria,,GTDB_Only,No_Match,52,1,0,0,No verifiable NCBI taxonomy classification,"GCA_017644205.1, GCA_017642855.1, GCA_949372555.1, GCA_002453935.1, GCA_913428515.1"
RUG11977,Bacteria,,GTDB_Only,No_Match,52,1,0,0,No verifiable NCBI taxonomy classification,"GCA_024693555.1, GCA_017542245.1, GCA_016290375.1, GCA_017538155.1, GCA_024699645.1"
JAJZAB01,Archaea,,GTDB_Only,No_Match,51,1,0,0,No verifiable NCBI taxonomy classification,"GCA_027330425.1, GCA_021810105.1, GCA_027330515.1, GCA_027338205.1, GCA_027326925.1"
JAJZWH01,Bacteria,,GTDB_Only,No_Match,51,1,0,0,No verifiable NCBI taxonomy classification,"GCA_027365555.1, GCA_027366295.1, GCA_027426895.1, GCA_027427115.1, GCA_021790875.1"
RGIG7193,Bacteria,,GTDB_Only,No_Match,50,1,0,0,No verifiable NCBI taxonomy classification,"GCA_951800975.1, GCA_944383835.1, GCA_947649895.1, GCA_949020485.1, GCA_949468345.1"
JAKAAZ01,Bacteria,,GTDB_Only,No_Match,50,1,0,0,No verifiable NCBI taxonomy classification,"GCA_021802085.1, GCA_027385175.1, GCA_021798735.1, GCA_027385485.1, GCA_021838865.1"
DTU089,Bacteria,,GTDB_Only,No_Match,50,1,0,0,No verifiable NCBI taxonomy classification,"GCA_945867495.1, GCA_937885695.1, GCA_934457525.1, GCA_012511005.1, GCA_001513045.1"
Bog-1198,Bacteria,,GTDB_Only,No_Match,50,1,0,0,No verifiable NCBI taxonomy classification,"GCA_030775865.1, GCA_027355915.1, GCA_003137095.1, GCA_003164965.1, GCA_027456185.1"
Firm-07,Bacteria,,GTDB_Only,No_Match,49,1,0,0,No verifiable NCBI taxonomy classification,"GCA_945913945.1, GCA_017462615.1, GCA_029004115.1, GCA_021634525.1, GCA_934486555.1"
SHAN690,Bacteria,,GTDB_Only,No_Match,49,1,0,0,No verifiable NCBI taxonomy classification,"GCA_018649785.1, GCA_943788775.1, GCA_030729005.1, GCA_943842845.1, GCA_003491695.1"
AG-339-G14,Bacteria,,GTDB_Only,No_Match,49,1,0,0,No verifiable NCBI taxonomy classification,"GCA_023703675.1, GCA_902611885.1, GCA_902523285.1, GCA_902612505.1, GCA_902598555.1"
UBA3839,Bacteria,,GTDB_Only,No_Match,49,1,0,0,No verifiable NCBI taxonomy classification,"GCA_900319385.1, GCA_946185675.1, GCA_905234555.1, GCA_002392805.1, GCA_902756015.1"
UBA8309,Bacteria,,GTDB_Only,No_Match,49,1,0,0,No verifiable NCBI taxonomy classification,"GCA_018624035.1, GCA_012269465.1, GCA_002323575.1, GCA_012270035.1, GCA_003516505.1"
SCQM01,Bacteria,,GTDB_Only,No_Match,49,1,0,0,No verifiable NCBI taxonomy classification,"GCA_027412015.1, GCA_021792075.1, GCA_027342925.1, GCA_027408495.1, GCA_027318945.1"
CACNYO01,Bacteria,,GTDB_Only,No_Match,49,1,0,0,No verifiable NCBI taxonomy classification,"GCA_902566815.1, GCA_902598915.1, GCA_902633725.1, GCA_902564795.1, GCA_902541415.1"
AG-12,Bacteria,,GTDB_Only,No_Match,49,1,0,0,No verifiable NCBI taxonomy classification,"GCA_027402605.1, GCA_027402175.1, GCA_021836585.1, GCA_027402435.1, GCA_021795235.1"
Bin80,Bacteria,,GTDB_Only,No_Match,49,1,0,0,No verifiable NCBI taxonomy classification,"GCA_009841705.1, GCA_026708985.1, GCA_009837785.1, GCA_028875465.1, GCA_009841805.1"
GCA-2731375,Bacteria,,GTDB_Only,No_Match,48,1,0,0,No verifiable NCBI taxonomy classification,"GCA_018651575.1, GCA_018671365.1, GCA_021776235.1, GCA_016776605.1, GCA_018654815.1"
REEB76,Bacteria,,GTDB_Only,No_Match,48,1,0,0,No verifiable NCBI taxonomy classification,"GCA_027440885.1, GCA_018971605.1, GCA_027440995.1, GCA_027440535.1, GCA_027440605.1"
