Name_to_use,taxid,otu_count,size_count,lineage,lineage_ranks,lineage_taxids
Allapsidae,2607627,4,6,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Glissomonadida;Allapsidae,cellular root;domain;clade;clade;phylum;order;family,131567;2759;2698737;543769;136419;1238681;2607627
Allobodonidae,NA,14,30,,,
Alphamonaceae,2605703,2,10,cellular organisms;Eukaryota;Sar;Alveolata;Colpodellida;Alphamonaceae,cellular root;domain;clade;clade;clade;family,131567;2759;2698737;33630;877183;2605703
Alveolata.U.family,33630,393,8253,cellular organisms;Eukaryota;Sar;Alveolata,cellular root;domain;clade;clade,131567;2759;2698737;33630
Amoebidae,35218,35,66,cellular organisms;Eukaryota;Amoebozoa;Tubulinea;Elardia;Euamoebida;Amoebidae,cellular root;domain;clade;phylum;class;order;family,131567;2759;554915;555369;2681632;180229;35218
Amoebozoa.U.family,554915,4214,15143,cellular organisms;Eukaryota;Amoebozoa,cellular root;domain;clade,131567;2759;554915
Amphibia,8292,5,9,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amphibia,cellular root;domain;clade;kingdom;clade;clade;clade;phylum;subphylum;clade;clade;clade;clade;superclass;clade;clade;class,131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;8292
Amphitraemidae,147554,16,60,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;Taphrinomycotina;Schizosaccharomycetes,cellular root;domain;clade;kingdom;subkingdom;phylum;subphylum;class,131567;2759;33154;4751;451864;4890;451866;147554
Annelida_XX,2302913,49,237,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Chloropicophyceae;Chloropicales;Chloropicaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2759;33090;3041;2302911;2302912;2302913
Anthozoa,6101,297,2971,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa,cellular root;domain;clade;kingdom;clade;phylum;class,131567;2759;33154;33208;6072;6073;6101
Aphelidiaceae,2689233,12,17,cellular organisms;Eukaryota;Opisthokonta;Aphelida;Aphelidea;Aphelidiaceae,cellular root;domain;clade;clade;class;family,131567;2759;33154;2316435;1498967;2689233
Arachnida,6854,130,496,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;subphylum;class,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;6843;6854
Arcellinida.U.family,318493,75,271,cellular organisms;Eukaryota;Amoebozoa;Tubulinea;Elardia;Arcellinida,cellular root;domain;clade;phylum;class;order,131567;2759;554915;555369;2681632;318493
Arcellinida_X,318493,30,151,cellular organisms;Eukaryota;Amoebozoa;Tubulinea;Elardia;Arcellinida,cellular root;domain;clade;phylum;class;order,131567;2759;554915;555369;2681632;318493
Archaeplastida.U.family,NA,342,1480,,,
Archamoebea.U.family,NA,58,216,,,
Arthropoda.U.family,6656,138,741,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656
Arthropoda_XX,6656,16,24,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656
Ascomycota.U.family,4890,288,3632,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota,cellular root;domain;clade;kingdom;subkingdom;phylum,131567;2759;33154;4751;451864;4890
Babesiidae,32594,23,158,cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Aconoidasida;Piroplasmida;Babesiidae,cellular root;domain;clade;clade;phylum;class;order;family,131567;2759;2698737;33630;5794;422676;5863;32594
Bacillariophyceae_XX,33849,8,29,cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyceae,cellular root;domain;clade;clade;clade;phylum;class,131567;2759;2698737;33634;2696291;2836;33849
Balamuthiidae,555408,8,12,cellular organisms;Eukaryota;Amoebozoa;Discosea;Longamoebia;Centramoebida;Balamuthiidae,cellular root;domain;clade;phylum;order;clade;family,131567;2759;554915;555280;1485168;555407;555408
Basidiomycota.U.family,5204,32,88,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota,cellular root;domain;clade;kingdom;subkingdom;phylum,131567;2759;33154;4751;451864;5204
Bathycoccaceae,1525212,308,6531,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2759;33090;3041;1035538;13792;1525212
Bicoecaceae,238883,57,469,cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Opalozoa;Bicosoecida;Bicosoecidae,cellular root;domain;clade;clade;class;clade;order;family,131567;2759;2698737;33634;2683628;2683629;33651;238883
Bicoecea.U.family,3035,280,1227,cellular organisms;Eukaryota;Discoba;Euglenozoa;Euglenida,cellular root;domain;clade;phylum;class,131567;2759;2611352;33682;3035
Bicoecea_XX,33651,7,9,cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Opalozoa;Bicosoecida,cellular root;domain;clade;clade;class;clade;order,131567;2759;2698737;33634;2683628;2683629;33651
Bigyra.U.family,2683628,30,244,cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra,cellular root;domain;clade;clade;class,131567;2759;2698737;33634;2683628
Blastocladiomycetes,86649,29,147,cellular organisms;Eukaryota;Discoba;Euglenozoa;Euglenida;Spirocuta;Aphagea;Rhabdomonadales,cellular root;domain;clade;phylum;class;clade;clade;order,131567;2759;2611352;33682;3035;2570567;2704112;86649
Blastocystis-Group,12967,72,618,cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Opalozoa;Opalinata;Blastocystidae;Blastocystis,cellular root;domain;clade;clade;class;clade;order;family;genus,131567;2759;2698737;33634;2683628;2683629;42740;2547934;12967
Bodonidae,5708,10,15,cellular organisms;Eukaryota;Discoba;Euglenozoa;Kinetoplastea;Metakinetoplastina;Eubodonida;Bodonidae,cellular root;domain;clade;phylum;class;subclass;order;family,131567;2759;2611352;33682;5653;2704647;2704650;5708
Branchiopoda,6658,132,783,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Branchiopoda,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;clade;clade;subphylum;class,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6657;6658
CCW10-lineage,451460,4,6,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Blastocladiomycota;Blastocladiomycetes,cellular root;domain;clade;kingdom;no rank;phylum;class,131567;2759;33154;4751;112252;451459;451460
Caenogastropoda,69555,45,225,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Gastropoda;Caenogastropoda,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;class;subclass,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6447;6448;69555
Cafeteriaceae,238884,18,75,cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Opalozoa;Bicosoecida;Cafeteriaceae,cellular root;domain;clade;clade;class;clade;order;family,131567;2759;2698737;33634;2683628;2683629;33651;238884
Centroplasthelida_X.U.family,193537,151,475,cellular organisms;Eukaryota;Haptista;Centroplasthelida,cellular root;domain;clade;class,131567;2759;2608109;193537
Centroplasthelida_XXXX,193537,19,25,cellular organisms;Eukaryota;Haptista;Centroplasthelida,cellular root;domain;clade;class,131567;2759;2608109;193537
Ceratiaceae,39451,3,65,cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Gonyaulacales;Ceratiaceae,cellular root;domain;clade;clade;class;order;family,131567;2759;2698737;33630;2864;40984;39451
Cercomonadidae,45108,154,294,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Cercomonadida;Cercomonadidae,cellular root;domain;clade;clade;phylum;order;family,131567;2759;2698737;543769;136419;188941;45108
Cercozoa.U.family,136419,1152,3275,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa,cellular root;domain;clade;clade;phylum,131567;2759;2698737;543769;136419
Cercozoa_XXX,136419,12,21,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa,cellular root;domain;clade;clade;phylum,131567;2759;2698737;543769;136419
Chlamydomonadales_X,3042,217,1479,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Chlorophyceae;CS clade;Chlamydomonadales,cellular root;domain;kingdom;phylum;clade;class;clade;order,131567;2759;33090;3041;2692248;3166;2812636;3042
Chlorellales_X,35460,315,3348,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Trebouxiophyceae;Chlorellales,cellular root;domain;kingdom;phylum;clade;class;order,131567;2759;33090;3041;2692248;75966;35460
Chlorophyceae.U.family,212497,10,62,cellular organisms;Eukaryota;Sar;Rhizaria;Retaria;Foraminifera;Allogromida;Lagynidae,cellular root;domain;clade;clade;clade;phylum;clade;family,131567;2759;2698737;543769;2662056;29178;196920;212497
Chlorophyta_X.U.family,3041,499,2267,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta,cellular root;domain;kingdom;phylum,131567;2759;33090;3041
Chloropicaceae,151025,15,50,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Thecofilosea;Cryomonadida;Protaspidae;Cryothecomonas,cellular root;domain;clade;clade;phylum;class;order;family;genus,131567;2759;2698737;543769;136419;1004930;589444;2603934;151025
Choanocystidae,NA,5,6,,,
Chromadorea_X,2704648,778,4386,cellular organisms;Eukaryota;Discoba;Euglenozoa;Kinetoplastea;Metakinetoplastina;Neobodonida,cellular root;domain;clade;phylum;class;subclass;order,131567;2759;2611352;33682;5653;2704647;2704648
Chytridiales_X,4810,1,5,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Chytridiales,cellular root;domain;clade;kingdom;no rank;phylum;no rank;class;order,131567;2759;33154;4751;112252;4761;2683659;451435;4810
Chytridiomycetaceae,418103,12,82,cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium (Plasmodium),cellular root;domain;clade;clade;phylum;class;order;family;genus;subgenus,131567;2759;2698737;33630;5794;422676;5819;1639119;5820;418103
Chytridiomycota.U.family,4761,530,1528,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota,cellular root;domain;clade;kingdom;no rank;phylum,131567;2759;33154;4751;112252;4761
Chytridiomycota_XX,5402,3,3,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetes incertae sedis;Russulales;Russulaceae;Russula,cellular root;domain;clade;kingdom;subkingdom;phylum;subphylum;class;no rank;order;family;genus,131567;2759;33154;4751;451864;5204;5302;155619;355688;452342;5401;5402
Ciliophora.U.family,5878,803,4342,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora,cellular root;domain;clade;clade;phylum,131567;2759;2698737;33630;5878
Coccidiomorphea.U.family,NA,61,404,,,
Coccomyxaceae,35472,20,87,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Trebouxiophyceae;Trebouxiophyceae incertae sedis;Coccomyxaceae,cellular root;domain;kingdom;phylum;clade;class;no rank;family,131567;2759;33090;3041;2692248;75966;75981;35472
Collophidiidae,1656265,42,87,cellular organisms;Eukaryota;Sar;Rhizaria;Retaria;Polycystinea;Collodaria;Collophidiidae,cellular root;domain;clade;clade;clade;class;order;family,131567;2759;2698737;543769;2662056;65582;1426915;1656265
Colpodellida_CHR1,877183,18,70,cellular organisms;Eukaryota;Sar;Alveolata;Colpodellida,cellular root;domain;clade;clade;clade,131567;2759;2698737;33630;877183
Corallicolidae,2828056,2,2,cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Conoidasida;Corallicolida;Corallicolidae,cellular root;domain;clade;clade;phylum;class;order;family,131567;2759;2698737;33630;5794;1280412;2828055;2828056
Craniata_X.U.family,89593 Craniata,326,2470,,,
Craniata_XX,89593 Craniata,1,1,,,
Crustacea.U.family,6657,436,2433,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;clade;clade;subphylum,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6657
Cryomonadida.U.family,589444,5,7,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Thecofilosea;Cryomonadida,cellular root;domain;clade;clade;phylum;class;order,131567;2759;2698737;543769;136419;1004930;589444
Cryomonadida_X,589444,1,1,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Thecofilosea;Cryomonadida,cellular root;domain;clade;clade;phylum;class;order,131567;2759;2698737;543769;136419;1004930;589444
Cryothecomonas-lineage,151025,2,3,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Thecofilosea;Cryomonadida;Protaspidae;Cryothecomonas,cellular root;domain;clade;clade;phylum;class;order;family;genus,131567;2759;2698737;543769;136419;1004930;589444;2603934;151025
Cryptosporidiidae,35082,64,939,cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Conoidasida;Coccidia;Eucoccidiorida;Eimeriorina;Cryptosporidiidae,cellular root;domain;clade;clade;phylum;class;subclass;order;suborder;family,131567;2759;2698737;33630;5794;1280412;5796;75739;423054;35082
Cyanidiales_X,265318,2,21,cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Cyanidiales,cellular root;domain;phylum;class;order,131567;2759;2763;2797;265318
Cyclotrichium_like_organism_XX,696132 Cyclotrichium,79,227,,,
Dacrymycetes,452332,5,5,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Dacrymycetes,cellular root;domain;clade;kingdom;subkingdom;phylum;subphylum;class,131567;2759;33154;4751;451864;5204;5302;452332
Difflugina,2681634,151,397,cellular organisms;Eukaryota;Amoebozoa;Tubulinea;Elardia;Arcellinida;Difflugina,cellular root;domain;clade;phylum;class;order;suborder,131567;2759;554915;555369;2681632;318493;2681634
Digenea,6179,190,955,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Trematoda;Digenea,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;class;subclass,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6157;6178;6179
Dileptidae,1652550,253,2935,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Litostomatea;Haptoria;Haptorida;Dileptidae,cellular root;domain;clade;clade;phylum;subphylum;class;subclass;order;family,131567;2759;2698737;33630;5878;431838;5988;197905;5989;1652550
Dino-Group-I-Clade-1,NA,116,2072,,,
Dino-Group-I-Clade-4,NA,182,1189,,,
Dino-Group-I-Clade-5,NA,196,1050,,,
Dino-Group-I.U.family,NA,197,907,,,
Dino-Group-II-Clade-1,NA,80,328,,,
Dino-Group-II-Clade-10-and-11,127226,415,1595,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Granofilosea;Massisteriidae;Massisteria,cellular root;domain;clade;clade;phylum;clade;family;genus,131567;2759;2698737;543769;136419;1938466;2802177;127226
Dino-Group-II-Clade-14,NA,19,51,,,
Dino-Group-II-Clade-21,NA,17,78,,,
Dino-Group-II-Clade-3,6237,92,284,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Rhabditoidea;Rhabditidae;Peloderinae;Caenorhabditis,cellular root;domain;clade;kingdom;clade;clade;clade;clade;phylum;class;order;suborder;infraorder;superfamily;family;subfamily;genus,131567;2759;33154;33208;6072;33213;33317;1206794;6231;119089;6236;2301116;2301119;55879;6243;55885;6237
Dino-Group-II-Clade-6,NA,286,4127,,,
Dino-Group-II-Clade-7,NA,547,1828,,,
Dino-Group-II.U.family,NA,657,2568,,,
Dino-Group-II_X,NA,12,29,,,
Dinoflagellata.U.family,2864,22,28,cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae,cellular root;domain;clade;clade;class,131567;2759;2698737;33630;2864
Dinophyceae.U.family,2864,1090,4487,cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae,cellular root;domain;clade;clade;class,131567;2759;2698737;33630;2864
Dinophyceae_XX,2864,14,19,cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae,cellular root;domain;clade;clade;class,131567;2759;2698737;33630;2864
Diplophrydaceae,NA,17,26,,,
Discosea_X.U.family,555280,28,93,cellular organisms;Eukaryota;Amoebozoa;Discosea,cellular root;domain;clade;phylum,131567;2759;554915;555280
Distigmidae,2704119,24,188,cellular organisms;Eukaryota;Discoba;Euglenozoa;Euglenida;Spirocuta;Aphagea;Rhabdomonadales;Distigmidae,cellular root;domain;clade;phylum;class;clade;clade;order;family,131567;2759;2611352;33682;3035;2570567;2704112;86649;2704119
Dothideomycetes,147541,874,4225,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes,cellular root;domain;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;clade;class,131567;2759;33154;4751;451864;4890;716545;147538;716546;715962;147541
Dysteriidae,238903,25,115,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Phyllopharyngea;Phyllopharyngia;Dysteriida;Dysteriidae,cellular root;domain;clade;clade;phylum;subphylum;class;subclass;order;family,131567;2759;2698737;33630;5878;431838;37471;238896;238898;238903
Echinamoebidae,136448,1,2,cellular organisms;Eukaryota;Amoebozoa;Tubulinea;Echinamoebida;Echinamoebidae,cellular root;domain;clade;phylum;class;family,131567;2759;554915;555369;2681631;136448
Echinodermata_XX,36750,48,349,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Glomeromycotina;Glomeromycetes;Glomerales,cellular root;domain;clade;kingdom;no rank;phylum;subphylum;class;order,131567;2759;33154;4751;112252;1913637;214504;214506;36750
Eimeriida.U.family,NA,6,20,,,
Eimeriidae,5799,68,535,cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Conoidasida;Coccidia;Eucoccidiorida;Eimeriorina;Eimeriidae,cellular root;domain;clade;clade;phylum;class;subclass;order;suborder;family,131567;2759;2698737;33630;5794;1280412;5796;75739;423054;5799
Elardia.U.family,5204,28,49,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota,cellular root;domain;clade;kingdom;subkingdom;phylum,131567;2759;33154;4751;451864;5204
Embryophyceae_XX,53527,2248,16076,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Diptera;Nematocera;Culicomorpha;Culicoidea;Culicidae;Culicinae;Culicini;Culex;Culex,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;clade;clade;subphylum;class;clade;subclass;infraclass;cohort;order;suborder;infraorder;superfamily;family;subfamily;tribe;genus;subgenus,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7147;7148;43786;41827;7157;43817;53550;7174;53527
Endomyxa-Ascetosporea_XX,1871466,4,8,cellular organisms;Eukaryota;Sar;Rhizaria;Endomyxa;Ascetosporea,cellular root;domain;clade;clade;phylum;class,131567;2759;2698737;543769;2604748;1871466
Endomyxa_XX,2604748,2,2,cellular organisms;Eukaryota;Sar;Rhizaria;Endomyxa,cellular root;domain;clade;clade;phylum,131567;2759;2698737;543769;2604748
Endostelium-lineage,668361,82,179,cellular organisms;Eukaryota;Amoebozoa;Discosea;Flabellinia;Endostelium,cellular root;domain;clade;phylum;class;genus,131567;2759;554915;555280;1485085;668361
Enoplea_X,119088,21,209,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Enoplea,cellular root;domain;clade;kingdom;clade;clade;clade;clade;phylum;class,131567;2759;33154;33208;6072;33213;33317;1206794;6231;119088
Euamoebida.U.family,66551,86,246,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;subphylum;class;subclass;superorder;order;suborder,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;6843;6854;6933;6946;83137;66551
Euglenaceae,266049,470,1572,cellular organisms;Eukaryota;Amoebozoa;Tubulinea;Elardia;Leptomyxida;Flabellulidae;Ripidomyxa,cellular root;domain;clade;phylum;class;order;family;genus,131567;2759;554915;555369;2681632;66524;136457;266049
Euglenida.U.family,92443,1526,5350,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Hymenoptera;Apocrita;Ichneumonoidea;Ichneumonidae;Campopleginae;Dusona group;Venturia,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;clade;clade;subphylum;class;clade;subclass;infraclass;cohort;order;suborder;superfamily;family;subfamily;no rank;genus,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7399;7400;7401;7408;65149;273877;92443
Euglenozoa.U.family,33682,50,204,cellular organisms;Eukaryota;Discoba;Euglenozoa,cellular root;domain;clade;phylum,131567;2759;2611352;33682
Eukaryota.U.family,2759,9333,39360,cellular organisms;Eukaryota,cellular root;domain,131567;2759
Eupetalomonads_X,NA,192,534,,,
Eurotiomycetes,147545,604,6441,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes,cellular root;domain;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;class,131567;2759;33154;4751;451864;4890;716545;147538;716546;147545
Eustigmatophyceae_XX,5747,39,315,cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Eustigmatophyceae,cellular root;domain;clade;clade;clade;class,131567;2759;2698737;33634;2696291;5747
Evaginogenida,180229,9,17,cellular organisms;Eukaryota;Amoebozoa;Tubulinea;Elardia;Euamoebida,cellular root;domain;clade;phylum;class;order,131567;2759;554915;555369;2681632;180229
Exobasidiomycetes,452283,306,11775,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Exobasidiomycetes,cellular root;domain;clade;kingdom;subkingdom;phylum;subphylum;class,131567;2759;33154;4751;451864;5204;452284;452283
Filoretidae_X,NA,34,52,,,
Filosa-Sarcomonadea.U.family,NA,31,82,,,
Filosa-Thecofilosea.U.family,NA,33,84,,,
Filosa-Thecofilosea_XX,1004930,3,4,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Thecofilosea,cellular root;domain;clade;clade;phylum;class,131567;2759;2698737;543769;136419;1004930
Flamella-lineage,490353,62,262,cellular organisms;Eukaryota;Amoebozoa;Evosea;Variosea;Flamellidae;Flamella,cellular root;domain;clade;phylum;class;family;genus,131567;2759;554915;2605435;2605334;2605335;490353
Flamellidae.U.family,2605335,197,567,cellular organisms;Eukaryota;Amoebozoa;Evosea;Variosea;Flamellidae,cellular root;domain;clade;phylum;class;family,131567;2759;554915;2605435;2605334;2605335
Foraminifera.U.family,32594,322,2196,cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Aconoidasida;Piroplasmida;Babesiidae,cellular root;domain;clade;clade;phylum;class;order;family,131567;2759;2698737;33630;5794;422676;5863;32594
Fungi.U.family,4751,1112,2638,cellular organisms;Eukaryota;Opisthokonta;Fungi,cellular root;domain;clade;kingdom,131567;2759;33154;4751
Fungi_XXX,4751,190,809,cellular organisms;Eukaryota;Opisthokonta;Fungi,cellular root;domain;clade;kingdom,131567;2759;33154;4751
